Item,Sentence,all,a lot (of),,,,
112156:136,"and, uh, you know, there was, there was, nothing on it, which  makes me wonder, you know, if it's as, uh, prevalent as, as [SOME] of them claim.",Yes,Yes,,,,
32005:38,"and his, uh, son built him a garage and got him some, uh, oh, i don't know what the equipment's called  , but planers and things and s-, set him up,",No,Yes,,,,
90995:20,i think that's [SOME] of it.,Yes,Yes,,,,
107909:42,and i don't know why we couldn't have duplicate voting on [SOME] of this .,Yes,Yes,,,,
78585:7,"so [SOME] of the things are not as, quite as, uh, adaptable.",Yes,Yes,,,,
94633:27,and it's a chance to see [SOME] of the relatives you don't see  all year long except that once a year.,Yes,Yes,,,,
164050:47,"but there's so many occasions when i've had  to move [SOME] members of the family or do this or that ,",Yes,Yes,,,,
65989:12,"so we had [SOME] interference,",No,Yes,,,,
109644:34,"so, i guess we're old timers compared to [SOME] people.",Yes,Yes,,,,
35565:48,"and, uh, if i consider  going the used car route and save up [SOME] money, i shouldn't have too much trouble at all.",No,Yes,,,,
47226:12,"and there's [SOME] pretty decent campgrounds although, i don't think raleigh, i don't think the state of north carolina takes,",No,Yes,,,,
98248:22,"and i think there are [SOME] people that  have done that,",No,Yes,,,,
30428:73,"then, you know, then, we thought, well we can use it for, you know, [SOME] personal things.",No,Yes,,,,
40634:72,"she gets home visitations by the s-, mumblex i don't know, the state boards, i guess, [SOME] of them and then [SOME] by the association,",Yes; Yes,Yes; Yes,,,,
23510:57,"and let's, you know, let's get rid  of [SOME] of this harassment suing.",Yes,Yes,,,,
121569:26,i just wish they'd bring [SOME] of the old characters back.,Yes,Yes,,,,
172264:114,"i mean, obviously, i do most of my, almost all of my report writing on, on my computer, uh, whether it's term papers or even [SOME] smaller homework assignments.",Yes,Yes,,,,
161396:28,"uh, and [SOME] of, [SOME] stuff that i like , uh,",Yes; No,Yes; Yes,,,,
5366:34:00,"uh, we had some, uh, [SOME] people from our church  went to israel, uh, just for a, uh, tour sort of thing.",No,Yes,,,,
12111:78,"the, uh, united states and canada are i guess, is, is, going into, uh, [SOME] types of agreements to limit, uh, what 's being given  out by power plants,",Yes,Yes,,,,
73491:25,"and, uh, when i seen [SOME] of my friends that  have taken that six week old baby, you know, to someone else , it's just, i can imagine how emotional it must be .",Yes,Yes,,,,
164075:14,"so, we got [SOME] monster studded snow tires after that.",No,Yes,,,,
121793:107,"you know, i want to, i want  to throw [SOME] charcoal on the grill and, and throw a steak  on there and [SOME] baked potatoes and stuff like that",No; No,Yes; Yes,,,,
53913:6,and [SOME] kids need  to be spanked  at home.,Yes,Yes,,,,
130087:11,what are [SOME] of the things they don't recycle  .,Yes,Yes,,,,
15291:54,"it's for, i think, at the same it's for [SOME] people to, you know, help them grow in other areas,",Yes,Yes,,,,
66765:5,"some of the cases i've heard about  over the years,",Yes,Yes,,,,
63606:10,"and then [SOME] of them are done  in, you know, purely metric.",Yes,Yes,,,,
134420:14,we put up [SOME] hummingbird feeders and [SOME] bird feeders.,No; No,Yes; Yes,,,,
74234:44,"i think the other thing is that, uh, we have taken [SOME] rather drastic turns in our, in our education and the way we approach things  as of maybe starting back when, when i'm number one, you know, and, uh, uh, uh, worrying about self and not, uh, seeing the consequences of the disintegration of the family .",No,Yes,,,,
105896:51,and i think it 's good that they're trying  to start [SOME] programs down in the elementary schools.,Yes,Yes,,,,
171124:6,some of that is really bad i think .,Yes,Yes,,,,
19728:11,where's [SOME] reference to this goddamn state of texas and the role that they played  either leading up to  or in  the civil war .,No,No,,,,
129583:26,i'm going  to look into [SOME] other fields.,Yes,Yes,,,,
28711:26,"and the guys that, [SOME] of the guys that  run this place are very tight",Yes,Yes,,,,
110359:35,"like just over the weekend i visited my family, and [SOME] cousins i hadn't seen  in a long time,",No,Yes,,,,
43673:87,"i just go  to be entertained  and and not really interested in [SOME] of the, like the terminator or [SOME] of the schwarzenegger stuff.",Yes,Yes,,,,
102546:21,and i'm not fond of [SOME] of those things,Yes,Yes,,,,
175724:80,"well, i, i, i think we did, i think we did learn [SOME] lessons that we weren't, uh, we weren't prepared for ,",No,Yes,,,,
158966:17,then i know of [SOME] of the people that  have gotten their masters,Yes,Yes,,,,
74757:171,"and i hope maybe we're going  to get somewhere with a little more attention being paid  to it with, uh, reagan's, uh, new education secretary and, uh, you know, trying to do some, uh, trying  to produce [SOME] new programs anyway.",No,Yes,,,,
126460:28,"but is it a legal, uh, solution for [SOME] companies.",Yes,Yes,,,,
62437:24,but i wonder if there aren't [SOME] sociology courses.,No,No,,,,
56101:53,"but, it  is comforting to me to see, uh, more concern about [SOME] of these things that, that  cost us money.",Yes,Yes,,,,
53610:9,caused [SOME] damage.,No,Yes,,,,
13087:15,"and, uh, [SOME] of those old ones , of course, bob wills, miss texas playboys ernest tubbs and red foley an,",Yes,Yes,,,,
76785:80,"i mean, you know, at [SOME] point a parent does help their kid, but in, in [SOME] ways,",No; Yes,No; Yes,,,,
142147:41,"and i do, i try  to do [SOME] arts and crafts",No,Yes,,,,
24418:16,they actually should do [SOME] reading,No,Yes,,,,
6686:61,"it would certainly help them to appreciate [SOME] of the things that we have  here and develop [SOME] pride in them, if it was handled  that way.",Yes; No,Yes; Yes,,,,
72579:15,but they usually have [SOME] good articles in it.,No,Yes,,,,
70670:14,"i've got [SOME] onions  out, tomatoes,",No,Yes,,,,
134426:23,"and, uh, we've got [SOME] plum trees and [SOME] apple trees and [SOME] tomato and [SOME] blackberries and strawberries.",No (4),Yes (4),,,,
8865:47:00,but one of the things that i do  when i've got [SOME] spare time  is i do [SOME] woodworking.,No; No,Yes; Yes,,,,
55933:33,and this would give them a chance  to have [SOME] positive self-esteem.,No,Yes,,,,
176952:43,"they always want  to be able  to, uh, do [SOME] brain draining.",No,Yes,,,,
136193:24,"and i saw, there were [SOME] stop signs, i mean, submerged up to the writing on the stop sign,",No,Yes,,,,
177474:15,"especially, i did [SOME] cabinets in, uh, ash and oak",Yes,Yes,,,,
150826:22,but i wonder if maybe in [SOME] civil cases it doesn't work as well.,Yes,Yes,,,,
108790:55,"and then [SOME] of it is, [SOME] of it actually gets into [SOME] serious discussions of problems in our, in urban society.",Yes; Yes; No,Yes; Yes; Yes,,,,
142499:11,there are [SOME] columns that  could be painted   a different color too.,No,Yes,,,,
155027:11,i have [SOME] friends of mine who  use quicken,No,Yes,,,,
11568:18,"in fact, it got [SOME] pretty serious deep parts in it",No,Yes,,,,
142849:33,"they need  to have some, [SOME] young guys that  can take the lead",No,Yes,,,,
97106:20,"it's, [SOME] good, [SOME] bad, uh,",Yes; Yes,Yes; Yes,,,,
3209:48:00,"so, so then we got, we got [SOME] same things because,",Yes,Yes,,,,
80299:13,"and there's [SOME] days it's just like it 's the hardest thing in the world to, to get started  .",No,Yes,,,,
122893:11,"that's [SOME] cold golf too, isn't it.",No,No,,,,
95645:100,"well, i, i feel in light of [SOME] of the accidents and so forth that  have happened lately, that i think there are [SOME] occupations that they should, such as the health field, the transportation field, uh,",Yes; No,Yes; Yes,,,,
153721:83,"they, i guess they passed a couple of, uh, uh, laws a here while back in [SOME] states in terms of a waiting period where you know you go  to buy a hand gun",Yes,Yes,,,,
163188:16,"uh, i bought [SOME] cokes  the other day in the br-, the little bottles you know,",No,Yes,,,,
64969:34,and i hope you get [SOME] more calls and make [SOME] more calls.,No,Yes,,,,
15903:5,"some of the places  now, um, like i b m don't allow them smoking, you know in, in the plant.",Yes,Yes,,,,
22630:77,"of course what i used  to like  to do  though is go  snorkeling for scallops  in [SOME] of the bays, or uh, or oy-, for oysters.",Yes,Yes,,,,
79355:11,"they had [SOME] bends , around that we could find and put them in",No,Yes,,,,
164038:17,"so, they've got [SOME] pretty powerful sixes.",No,No,,,,
168216:15,"but they get into [SOME] really good conversations sometimes, you know.",No,Yes,,,,
26819:29,"and, i think, that they could get [SOME] results from that, because there are a lot of people who  are volunteer and community minded,",Yes,Yes,,,,
148355:8,"even [SOME] of that i like  okay but not, mostly, as a general rule,",Yes,Yes,,,,
172629:33,"there ought  to be, uh, uh, [SOME] compromise that  could, where, uh, where the person would be guaranteed  a, uh, career type position but not necessarily a continuation of exactly the same position uh, in exchange for a longer period of time .",No,No,,,,
138142:20,"and, and [SOME] odd stuff around the house",No,Yes,,,,
103194:37,"my in-laws also enjoy prime rib, when they've had [SOME] of their specials on sunday, monday, or tuesday night",Yes,Yes,,,,
177013:13,"but there's [SOME] differences in the immigrants, that, that we're getting  now.",No,Yes,,,,
33002:13,"we've got [SOME] good, um, um, hybrid burpee uh uh, pickler cucumbers",No,Yes,,,,
168569:28,"i'm beginning  to believe that [SOME] people are simply not rehabilitatable and, uh, that, uh, uh, costs and other factors justify, uh, uh, executing people.",Yes,Yes,,,,
151077:31,"but, uh, apparently for some, [SOME] crimes, it 's permissible to have six people sit in judgment.",Yes,Yes,,,,
56897:6,"and [SOME] people don't vote,",Yes,Yes,,,,
166177:13,but there are [SOME] school districts out there that  are very well paid.,No,Yes,,,,
86100:21,you have  to have [SOME] compassion [SOME] humanness.,No; No,Yes; Yes,,,,
70612:21,living in the city has [SOME] advantages.,No,Yes,,,,
116495:21,"in fact, i just got [SOME] reservations.",No,Yes,,,,
26977:14,i've seen [SOME] districts where all the schools are lousy,No,Yes,,,,
39190:38,"i'd love  to have, have [SOME] animals.",No,Yes,,,,
169028:53,"uh, that 's kind of gone up in scale and, and [SOME] other things.",Yes,Yes,,,,
175702:23,"and i got a feeling that [SOME] of that was involved in the, uh, early decisions of the vietnam war. that the, uh, people saw the cold war as, uh, you had  to draw a line and, and defend it.",Yes,Yes,,,,
127596:32,"i've, i've done [SOME] water exercises,",No,Yes,,,,
164095:28,"so we've been able  to do [SOME] real creative, uh, load hauling when called upon  .",No,Yes,,,,
147477:43,"so, i, you know, you pick up [SOME] traits from her and stuff.",Yes,Yes,,,,
101121:88,"and schools now are supposed  to solve social problems, uh, mental and emotional problems as well as educate the kids and try  to provide them with [SOME] security.",No,Yes,,,,
103644:84,"i, i think, with solving [SOME] of the energy, future energy problems, we'll probably solve [SOME] of the pollution problems as well.",Yes; Yes,Yes; Yes,,,,
161001:72,"that's, that's, maybe that's, there's, uh, [SOME] credence in that statement.",No,Yes,,,,
31180:58,"and, uh, you know, i, i've, in hindsight, seen [SOME] things that i wished that, you know, i had done something about  that  was, you know, within my power or, uh, you know, wish that in [SOME] ways we, as parents, had more control over what 's happening up there, you know, type thing.",No; Yes,Yes,,,,
171692:24,"and, uh, they've had [SOME] financial problems with the team and so forth.",No,Yes,,,,
145552:67,"and i, i guess there's some, there's, uh, uh, [SOME] negotiating there, too,",No,Yes,,,,
128104:24,"i mean, they'll have [SOME] things  in there that  almost, almost, you know, like supernatural, or something, you know,",No,Yes,,,,
103911:47,"and, and, it really isn't, for [SOME] people tha-, who  have been there for over, and over, and over, it really isn't, uh, as bad.",Yes,Yes,,,,
23861:130,"and if you like chinese food, you can take filet of fish and put a little bit of soy sauce and a little bit of sesame oil on top of it and chop [SOME] scallions and a little ginger and just cover it with some, uh, waxed paper and steam it just until the fish is done,",No,Yes,,,,
164770:133,"one of the things that i found  interesting last year during the, uh, the gulf conflict was a sentiment against, uh, peter arnett, who  had stayed in iraq and was presenting, uh, [SOME] of the things that  were available.",Yes,Yes,,,,
78614:111,"i know that, uh, uh, one of, one thing that  happens to us to vacation trips now is that usually that try to involve [SOME] of the members of the family.",Yes,Yes,,,,
37768:13,cause i did [SOME] teaching part-time,Yes,Yes,,,,
89437:12,"and there were [SOME] others,",No,Yes,,,,
32931:10,we planted [SOME] yellow peppers this year.,No,Yes,,,,
156697:32,i'm for it in in [SOME] cases.,Yes,Yes,,,,
53912:14,"i mean, [SOME] kids don't get don't get spanked  at home",Yes,Yes,,,,
4795:25:00,"you know, i mean, [SOME] of these guys are forty years old and got ten convictions.",Yes,Yes,,,,
31080:8,"in [SOME] of those, you know, they, i guess they retitled [SOME] movies that  were going  to be about lebanese and, and, you know, and, and americans",Yes; Yes,Yes; Yes,,,,
127919:39,"so i don't, i don't know [SOME] of those shows now, like i used  to.",Yes,Yes,,,,
174160:14,i've got [SOME] friends that  are lawyers,No,Yes,,,,
47855:7,and [SOME] of the people in our church use birth control,Yes,Yes,,,,
57643:110,"i'm convinced that, uh, detroit or whoever it is  made a major mistake, years ago when they stopped  putting the small v eights in and went to the fours and [SOME] of the sixes .",Yes,Yes,,,,
78212:39,"and i know they do van pool a lot here from [SOME] of the outer areas,",Yes,Yes,,,,
6686:28:00,"it would certainly help them to appreciate [SOME] of the things that we have  here and develop [SOME] pride in them, if it was handled  that way.",Yes; No,Yes; Yes,,,,
92249:38,"and it was, uh, just to, uh, have [SOME] fellowship with her.",No,Yes,,,,
9486:04:00,"some people say, uh, they, they like  to watch the changing of the seasons",Yes,Yes,,,,
25479:56,"and, uh, we'll get out of the driving range and, and get [SOME] interest built  up",No,Yes,,,,
9970:53:00,when they give you the freedom to take care of yourself  then that puts [SOME] responsibility on you as well.,Yes,Yes,,,,
153227:28,"because i mean i do think that [SOME] people need them and, like, for protection and stuff",Yes,Yes,,,,
171919:12,"we do [SOME] cooking, [SOME] barbecueing, have a few drinks and then go in and see the game and see the patriots lose and then go home and eat, drink [SOME] more.",No; No; No,Yes; Yes; Yes,,,,
148200:15,"and then we have [SOME] church magazines,",No,Yes,,,,
85252:8,"interestingly [SOME] of the information i've been reading  indicates that the amount of air pollution from, uh, uh, airplanes is extraordinary.",Yes,Yes,,,,
161185:14,"i do have [SOME] thoughts on that,",No,Yes,,,,
60333:19,"my brother had asthma and [SOME] allergies which i think he's outgrown  now,",No,Yes,,,,
22018:5,some of them are interested.,Yes,Yes,,,,
134033:13,"well, certainly [SOME] of the top end ones.",Yes,Yes,,,,
93477:92,"and then once, about once every three or four years i try  to get over to england, because i lived there for a while, [SOME] years back.",No,Yes,,,,
2335:27:00,"well, uh, maybe i am into [SOME] things  occasionally that i don't think of  in terms of self improvement.",Yes,Yes,,,,
43837:14,here's  [SOME] rocks sitting out in the middle of a field.,No,Yes,,,,
60926:36,and maybe i'll wet a fly line this year and do [SOME] camping if i don't get laid  off between now and then.,No,Yes,,,,
11929:60,"there, there must be, uh, uh, [SOME] of the, [SOME] of the, uh, larger plants up, uh, up around one hundred twenty-eight.",Yes,Yes,,,,
38936:13,"i've done [SOME] cross, um, cross stitch,",No,Yes,,,,
161106:35,"they're banned  from, in [SOME] areas i understand .",Yes,Yes,,,,
132696:166,"and then you just dip the carcass in, uh, boiling water, pull it out, and there's a, we use a little raspy brush,  pulls the hair off, and, uh, gut it, and, uh, just stick it down in a pit with [SOME] cloves and, uh, [SOME] pineapple, about three pineapples, you know, sliced them up, and, uh, cover him up with, uh, wet, uh, sacks, feed sacks is what i usually use  and then start a charcoal fire on top of him.",No; No,Yes; Yes,,,,
22933:25,"there's also, you know, [SOME] private ones, you know",No,Yes,,,,
48582:11,"i know [SOME] people who  just,",Yes,Yes,,,,
13056:42,"i think my parents have have, uh, [SOME] of his records.",Yes,Yes,,,,
125903:18,"but um, there are [SOME] parts during that exercise that i think, i can not do another second of this .",No,Yes,,,,
174932:42,"and while i don't do any drugs myself, i've seen [SOME] people who  work there, uh, you know, smoking a joint or whatever.",Yes,Yes,,,,
56683:20,"and, uh, i have [SOME] friends that  live down there.",No,Yes,,,,
154094:15,we have gotten [SOME] of our loans paid  off really because of this and stuff like that,Yes,Yes,,,,
55028:10,"uh, [SOME] of them didn't",Yes,Yes,,,,
28734:50,i used  to do a lot of basketball and running and volleyball until i had [SOME] knee surgery last fall.,No,Yes,,,,
131722:36,"i probably need  to take some, [SOME] more lessons, uh, more current and, uh, and practice more often.",No,Yes,,,,
164259:34,"but, i think you have  to accept [SOME] of the errors.",Yes,Yes,,,,
74649:24,"you know, if there's [SOME] gauge that they could make .",No,No,,,,
132933:5,some of the cars that i got  were like the toyota camry and the nissan maxima and [SOME] of the competitors,Yes,Yes,,,,
120456:22,and i just started  ordering [SOME] parts,Yes,Yes,,,,
170188:13,we actually do [SOME] work with [SOME] people down at georgia tech.,Yes; Yes,Yes; Yes,,,,
12194:43,"well you might, uh, generate [SOME] yeah, you might generate [SOME] interest in it.",No; No,Yes; Yes,,,,
113793:23,"and, uh, seems like [SOME] rather large chunks of money could come from, from that direction.",No,Yes,,,,
134479:41,"i, i, i worked on [SOME] of it at t i once upon a time.",Yes,Yes,,,,
161487:13,so you got [SOME] lakes around you can do that on .,No,Yes,,,,
80499:4,some people are a little bit fanatical about it.,Yes,Yes,,,,
158511:44,"i think, i think there's definitely been [SOME] changes, um,",No,Yes,,,,
15870:42,and then i also had a friend who  was just around [SOME] people that  were smoking cocaine.,Yes,Yes,,,,
120455:20,"and they had, uh, [SOME] names, [SOME] companies that  sold mustang parts,",No; Yes,Yes; Yes,,,,
56417:25,oh. you ought  to try [SOME] crawfish.,No,Yes?,,,,
55920:12,and we got [SOME] great public works out of it.,No,Yes,,,,
145722:97,"i didn't, you know, i, i didn't even know their names, [SOME] of the two or three generations back and [SOME] of the aunts and uncles",Yes; Yes,Yes; Yes,,,,
115916:39,"but, uh, there's, uh, some, [SOME] stuff that i want  to do  with like sierra club and go down to grand canyon or something like that.",No,Yes,,,,
27507:15,"and then they wanted [SOME] gray to do the,  to do the trim.",No,No?,,,,
171283:28,"some, [SOME] cases in [SOME] jurisdictions, they can do that.",Yes; Yes,Yes; Yes,,,,
155408:25,so so there is [SOME] good to it.,No,Yes,,,,
147340:7,"and [SOME] of them are limited care  too where people can do, uh,",Yes,Yes,,,,
116940:96,"well, maybe this thing with, with the child at school, maybe that will make people think a bit more and, you know, take [SOME] steps  to, to correct it.",Yes,Yes,,,,
159146:13,"you know [SOME] of the health insurance is written  that way. you know, that, uh, if you buy an accident and death or dismemberment policy, you know, it s-, pre specified in the policy so much",Yes,Yes,,,,
171283:17,"some, [SOME] cases in [SOME] jurisdictions, they can do that.",Yes; Yes,Yes; Yes,,,,
2454:46:00,"and where we are  now, what we're doing  is [SOME] very big lawsuits that  happen  to have a heck of a lot of boxes of documents.",Yes,Yes,,,,
22799:53,"but, um, we kind of thought that maybe they just wanted  to give him [SOME] medication to sort of, you know keep him real out of it all the time",No,Yes,,,,
166169:26,"i do know for a fact that [SOME] of the teachers that i know  personally get paid  an awful lot more than,",Yes,Yes,,,,
146091:18,"um, i've done [SOME] cross stitching.",No,Yes,,,,
161668:20,"you actually, [SOME] catamarans you can actually pull people  behind , the skiers,",Yes,Yes,,,,
74580:17,"that's, uh, [SOME] pretty good ideas.",No,Yes,,,,
30391:26,"we have, you know, used [SOME] of it for [SOME] personal things.",Yes; Yes,Yes; Yes,,,,
30872:58,"it was really, i mean the hollywood really must think there's [SOME] real dummies out there or something.",No,Yes,,,,
168576:39,"and, uh i can imagine that, uh, uh, for [SOME] people it would be the only form of justice in that case.",Yes,Yes,,,,
104255:44,"does it, does it offer, like band, or [SOME] of the instruments.",Yes,Yes,,,,
30987:12,but they changed [SOME] things in the movie.,Yes,Yes,,,,
141909:6,"or [SOME] things are, um, you know,",Yes,Yes,,,,
9455:69,"well, i mean, i, i, i guess i've been in [SOME] places, you know, where the weather was just so mild , you know, places like monterey, california or, you know,",Yes,Yes,,,,
