"Item","Sentence","MeanEmpirical","MeanPredictedVector","MeanPredictedVectorPred","MeanPredictedFixed","MeanPredictedFV","MeanPredictedFVP"
"108790:33","and then some of it is, some of it actually gets into some serious discussions of problems in our, in urban society.",4.3,4.12150563170898,3.46072915945797,5.53245247197441,5.06434737131921,3.67641904174868
"108790:55","and then some of it is, some of it actually gets into some serious discussions of problems in our, in urban society.",3.5,4.04455688428118,3.45461473276999,2.93098943504914,2.90160855352751,3.34432185752321
"108807:56","um, i don't like  to listen to it all the time, but, um, some of the time, anyway.",5,4.4509996160206,4.66333734702123,5.20341347707746,4.77721892146884,4.87979056467708
"108856:37","you can't understand what they're saying  on some of those songs which  probably is just as well on some of them, too.",5.8,5.04086915826737,5.58651771661727,5.13408858291262,5.14007963869128,5.60650289966132
"108856:73","you can't understand what they're saying  on some of those songs which  probably is just as well on some of them, too.",5.4,4.81099721144014,5.31944037977179,4.69241942297638,4.79617077753022,5.30253314410178
"10895:45","well as, it, as i recall it got some academy awards, didn't it.",2.7,3.79196106145168,2.22026330698961,2.99532944846422,3.30945766631814,2.23588810324521
"108972:69","and it consisted of, of grilled kielbasa sausage uh, a potato salad with olive oil, and uh, some tomatoes that  had been chopped  up with onions and curry powder",3.2,3.28722063497308,2.90127294594183,3.38742249824183,3.53737965216003,2.94432701192104
"108975:9","and probably some yogurt was in there.",3.4,2.78595926979955,2.94975382047274,3.00478372327132,2.83406044739946,2.7826430347128
"109040:25","we, we had some friends over as recently as saturday night",3.4,3.09510846882182,3.12346417351422,3.04513797734389,3.16813562655534,3.00883522200022
"109067:18","marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,",2.9,2.72454050852114,2.90127294594183,3.24009797134149,2.65382826871288,2.85016439185163
"109067:39","marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,",2.7,2.63711157612996,2.92014834379528,2.83281935584537,2.22899965071356,2.77673929500413
"109067:60","marinated in olive oil and some seasoning, um, and cooked with some olives and some, and some prunes, uh,",2.3,2.62646613218491,2.93363585519951,2.90843269867475,2.3516561975055,2.83382840254561
"109255:17","the second thing is some colleges only offer the, uh, liberal arts and, uh, whereas like state, they offer engineering courses",5.4,4.1020564389985,4.72604239329726,5.26960465418047,5.10088207247188,4.88755002570755
"109269:7","well some schools may even give you financial aid, where another one won't .",5.6,3.71017851187978,5.27458437604174,4.78574967637507,4.59042494064305,5.28179862541769
"109394:16","but i guess some of the other smaller colleges might, might be a lot different.",6,4.87799426029974,6.21171205929656,5.01969940526132,5.38374674535319,6.2342760002887
"109644:34","so, i guess we're old timers compared to some people.",4.9,5.30096974805674,5.5692706307239,4.86259223682064,5.47352988693869,5.67944532468119
"109712:50","but the trucks that  were supposed to do it, there's been some problems with  from what i've read  in, you know, the mail that we get",2.5,3.59831658007955,2.82724870185445,3.23115720722533,3.34651104089036,2.84533419890088
"110359:35","like just over the weekend i visited my family, and some cousins i hadn't seen  in a long time,",4.5,4.30495126566466,3.91226835266708,3.57896092829321,3.81892612995959,3.82023348563798
"110384:95","but i've really noticed that there are a lot of, uh, a lot more people that  are more comfortable, at least, with some women being home and, at least in the circles i've travelled  and in the church that i go to , you know,",3.7,4.44903723402619,4.90543042611963,4.19935592722473,4.57201551917874,4.79412532037019
"110398:27","i found when i did do some work  when my son was young , it was like contract work,",3.2,4.00334076240701,3.26877609313674,3.37202716903306,3.43615907460299,3.19159004419341
"110628:20","um, but she might have some contacts here,",2.3,2.58883377243728,2.42989652212572,2.99462158956257,2.67190492102402,2.35698405949715
"11082:15","but they're predicting some more snow for our direction.",2.6,3.76735385882931,3.13081389451222,2.89823851974235,2.99164600687883,3.01724878104306
"111407:85","i was just in the shower after  finishing mowing the lawn and, you know,  mowing the lawn and removing some old petunias out of the garden,",3.7,2.50047326506184,2.98402789142831,3.14249844698127,2.08268106901897,2.94122669163793
"111758:13","and i had some time off in the afternoon,",2.9,3.25333781668954,2.49783483508646,3.12894683448083,2.81135421196338,2.42926583781476
"112058:22","i sometimes have a problem with some of the, especially more famous people who  all of a sudden are crawling out of the woodwork  to say that whatever problems they have , you know, was, was because they were abused a-, abused  as children.",5.1,5.02130080144951,5.15501660240363,5.04018622277214,5.27936909791125,5.23028471994018
"112156:136","and, uh, you know, there was, there was, nothing on it, which  makes me wonder, you know, if it's as, uh, prevalent as, as some of them claim.",5.2,3.86098744705079,5.3664950736276,4.66115257064169,4.62068086249023,5.34499525693834
"112290:7","and some of those",4.1,5.71992230228621,5.03948942686172,5.53752673818267,5.27955998358589,5.18811913158606
"11233:53","you know that was one thing we noticed  last week that we had some new people move into our building and, you know, the nice cardboard boxes that you move, packing boxes. and they were just used  one time and thrown  in the dumpster",3.5,3.35279961638277,3.75278524773743,3.87280034264951,3.73301697309975,3.74931698014776
"112498:14","and save you some money too.",2.3,4.1064931654862,2.97909265807999,2.75385713519476,3.05126356114131,2.84475826799624
"112637:73","i would like  to do that  as a, as a family and, and some t v watching.",3.8,5.09621841077002,4.09786474941516,3.77924402695563,4.26602773102926,4.04043559020942
"112844:32","i have worked in anoth-, at some other ones that  were not very good in my opinion.",3.6,4.30620231016599,3.50704666578364,3.1883538132838,3.97577771325194,3.44218594138975
"112989:20","but, but some people don't have a choice.",4.1,4.70626881870802,4.71845001918093,5.6816323627254,5.67067864189536,4.99452772076969
"113277:12","and we had some wonderful, wonderful years there under roger staubach.",2.7,2.86290343263232,3.15607343350444,3.83003845124395,3.15752290779424,3.22399467841062
"11328:16","but i would buy some cheap wallpaper from somewhere and cover those nice boxes with the lids,",2,4.14260801798156,2.28679594117915,2.74243418549168,3.44024721964116,2.21604279439609
"113457:49","and when the cowboys won the superbowl here , of course, they put together some real cute songs,",3,3.78668427662633,3.00664832482531,3.65042616365109,2.79469527425467,3.00007278324117
"113475:14","we drive by some houses  everyday that  have big signs,",4.2,2.81378546407343,3.6693532826648,2.95924284160721,2.50103818047742,3.48108994150349
"11353:13","you saved me some money.",2.3,3.4095351534646,1.92349532960786,3.2859418270488,3.30651139958778,1.96606726202176
"113793:23","and, uh, seems like some rather large chunks of money could come from, from that direction.",2.7,3.81860709764136,2.35700938913547,3.64674072368521,3.48846167350003,2.47064945698001
"113850:63","if they were  to take half of what they spend  on that and put it on some economic, you know, inter-, intergovernmental or inter united states like programs that one really might.",2.3,3.78308473231344,2.80108074544746,3.66932888686189,3.59791331371618,2.88700185833607
"113855:35","and i don't mind, uh,  paying for some of these fringe benefits that people are entitled to .",4.8,4.21303594563194,4.45904134150348,4.30280052682743,4.3296554293526,4.48404555433707
"113957:66","man our cr-, our, uh, prisons are so crowded that, uh, they can commit some pretty serious crimes and be set  free within a year to two.",2.9,4.58588715759342,3.25321184627399,3.00853003392203,3.56201124304714,3.13845373873019
"114202:81","and, uh, they, they promote service on the part of the kids to, to, uh, some of those people.",3.7,4.81747660755918,3.99067245579849,4.51687199571712,4.75188693617618,4.11861963699189
"114255:29","um, uh, i think there's some problems,",2.5,2.9728702752467,2.17550008077062,2.56429233497749,2.39485047024005,2.06211411674726
"114588:104","uh, because i, i need  to have it tuned, you know, tuned  up and i don't know, replace some of the belts.",6.4,3.80680951473834,4.73437896002694,4.88882415969758,4.5060709001299,4.83977935313509
"114610:10","we get some killer winters up here in the mountains.",3.3,3.94294964941988,3.42001946396107,3.38179010654675,3.82375141040249,3.34609117617133
"115343:46","i read, uh, a lot of steven king, dean r koontz, uh some danielle steel.",5.5,4.1177103267213,5.28869326417258,3.49497252588597,3.79544007771537,5.1400722210196
"115483:40","i like, i like  to read some of the philosophy stuff.",4.9,5.20275268820116,4.61933451625257,4.88543988337745,5.33925752408384,4.74129048829353
"115490:21","and even like reading some new age things, things that i don't quite believe in ,",4.1,4.18914235121602,3.26363956756705,3.02682886192466,3.2765783747681,3.17816377116817
"115525:57","and i like  to read, uh, i like  to read some self help books like, uh,",4.1,4.14524781963393,4.03500839323415,3.44987942694857,3.79234198014686,3.95614183731837
"11568:18","in fact, it got some pretty serious deep parts in it",3.1,3.54049081599379,2.58308816700801,2.92486425527251,3.33010736799548,2.54539692035075
"115742:25","i, i do some things.",4.4,3.75654399007261,4.45035162212966,4.71002818937482,4.60756112903965,4.64756605803723
"115916:39","but, uh, there's, uh, some, some stuff that i want  to do  with like sierra club and go down to grand canyon or something like that.",3,3.33393269967138,2.91830755541691,3.63522221903395,3.21780989427203,2.96289113341319
"116197:36","uh, there are supposed  to be, uh, some people f-, moving down here from colorado springs for t i.",3.8,3.1511814383417,3.01082097246582,3.62201169816081,3.30549007263222,3.02386658077303
"116252:35","i, i think there are some areas where we, where we, uh, pretty well, you know, get our money's worth ,",5.1,3.43507639576266,4.37630627580551,3.45513208093353,3.46602582819836,4.28554057033678
"116495:21","in fact, i just got some reservations.",1.8,2.67783979574091,1.53900299037237,3.82323525503706,3.36272377414849,1.76048563335652
"116582:15","but we've had some pretty nice weather.",4.6,2.4598696667542,4.71977834628245,3.5155556749159,2.95342637565285,4.60501004940645
"116717:11","i know some people that  went to b y u.",3.4,4.26476983066864,3.63283389104625,3.01478879261101,3.5068730186686,3.50178005727395
"116940:96","well, maybe this thing with, with the child at school, maybe that will make people think a bit more and, you know, take some steps  to, to correct it.",2.2,3.77838351704259,2.67512424201798,3.24115553029551,3.33884924111123,2.64242312107193
"117330:23","it ended up i got some furniture  back that one of them had moved  out or something.",4.8,3.20873189592117,3.38428572603907,3.44711332105393,2.92521959874347,3.28808686655417
"117354:63","i just still have need for the four bedrooms  just having company from time to time. and some of them coming back home and things, you know.",5.1,3.5595120000886,3.17171736868012,5.56126680454316,5.05648585851111,3.38287113910205
"11767:21","and i hope you enjoy some more good movies late-,",1.9,3.59023482068491,2.93955671793892,3.30747059656997,3.12785172420286,2.9100501478974
"1177:17","i've even had some of them,",5.6,4.63314506282618,5.52215437698727,4.93645572951103,4.78773092188938,5.60746582895759
"117808:33","and, uh,  seeing as you've got some older children, i, i'm wondering, how did you handle that , when they were growing up .",4,4.28534886069149,4.3658816317408,3.66935728476354,3.69135831618208,4.23891720545787
"117836:27","or uh, you know, you got some cartoons",2.7,2.8750595277371,2.27597379045083,3.09496036404811,2.71276143509416,2.26510937706874
"118309:83","that's, y-, count your blessings because uh, it really is good when someone can do some things to a car themselves .",4,3.94539747569712,3.64799348945468,3.92196700422944,3.77768136672215,3.68388672443221
"118734:78","and, um, i think that if we had enough money and paid the teachers a little bit more, that maybe that could solve some of our problems.",6,3.57441225617272,4.24611594974602,4.99092656766923,4.49921584246069,4.37772629951017
"118753:13","i think in some ways that  they need  to be more careful of the teachers that they hire .",5.5,4.78851101002684,5.20811879730234,3.44928332984906,3.87079675124416,5.02267069824635
"118769:33","i've, i've heard some horrible, horrible stories about high, high school teachers",3.1,4.5707177072228,3.21970912590881,3.48560249644638,4.22595933665404,3.20329344252661
"118955:17","these, some of these young kids you read about ,  just doesn't bother them to kill someone at all",5,4.9942546683486,5.21178044366429,5.04259704717276,5.41134117094045,5.37183568881922
"119111:78","uh, i just have a feeling that we've kind of talked out of both sides of mouths down there like we do in some other situations you know.",4.9,4.2949769638281,4.96454511740502,3.75090119333835,3.68281901984851,4.88376493371915
"119144:63","and uh,, you know, of course i, i'm sure we have some enemies down there who  wouldn't care what  happened to us,",3.3,4.01477216377448,3.53702784561691,2.86402412866165,3.2729579461776,3.34882709620585
"11929:60","there, there must be, uh, uh, some of the, some of the, uh, larger plants up, uh, up around one hundred twenty-eight.",4,3.90791133747842,4.83765714340604,4.86593193462125,4.44208473119977,4.89826055891455
"119842:10","we bought some walkie-talkies a couple of years ago for christmas,",1.7,3.46899804181045,2.62578972818561,2.7414067378214,2.76355059249286,2.50085716917761
"11991:7","and some of it runs off right away into the, in to the streams and rivers",5.5,4.1647891517269,5.52235758411611,5.80612977360123,5.01955371639576,5.66072279874775
"11992:7","and some of the fish were supposedly making a comeback.",5.5,3.81739553450814,4.77552494197062,4.69512429373092,4.08709947055368,4.79961651950263
"119945:93","and i think that certainly makes a difference from, back from the time when somebody handcrafted something  and, you know, had some pride in it .",1.9,2.89703021150408,2.18264070034711,2.77318356352302,2.26514307892404,2.08255772039411
"120178:18","um uh, well, some of both.",3.7,4.42104630483022,4.31544463473371,5.01772489084109,4.58682926579136,4.42247833566578
"120254:15","i've read some things about him that he was, he wasn't too good himself.",3.8,3.00940506570377,3.47271303074897,3.48814723485386,3.22214868539862,3.44167753864144
"120455:20","and they had, uh, some names, some companies that  sold mustang parts,",3.7,3.91907199984084,4.1936226104892,2.69476540229117,3.31243303769781,3.9182938101394
"120455:28","and they had, uh, some names, some companies that  sold mustang parts,",3.4,4.01935406659106,4.34035310749694,3.43856753171572,3.95604389408173,4.19985444216714
"120456:22","and i just started  ordering some parts",4,3.30979434267629,3.77568770058705,3.32706428609618,3.50180864048417,3.68191058627209
"120517:9","or do some of them play the same song.",4.7,5.27055329134743,5.92952431839163,5.4368281705424,5.60957002418767,5.91225177000468
"1206:10","and then some of them are speaking in a foreign language that i don't even understand .",5.9,5.4547436636479,5.76306697593789,5.45896834627945,5.88307552512658,5.752002579054
"120747:13","something giving you some affection as well.",2,3.09495225830976,1.92515936183754,3.35029756324965,2.70873994501759,1.97900038954655
"120873:46","and of course we were close enough that we could go back and get some more blankets and things in the morning,",3,2.96354163600752,2.65210325002369,3.17959401135044,2.65992078516376,2.62024844607441
"120922:61","but by then, of course, i was able  to catch, uh, catch some things,",3.9,3.31674763238413,3.66740205765577,3.73410760041915,3.09912516215317,3.68834206551957
"121023:37","saint augustine, uh with a little bermuda mixed in in some of the sunny areas",5.1,4.381802348932,4.32224097626316,4.57526489158611,4.86056588426865,4.40119624752045
"12111:78","the, uh, united states and canada are i guess, is, is, going into, uh, some types of agreements to limit, uh, what 's being given  out by power plants,",2.5,3.67301829181425,2.61816462550051,3.23619347151068,3.31182195531804,2.65355671038067
"121141:6","and some people call them may beetles.",5.6,4.02527713470083,5.79399957351861,4.86013907041122,4.79120813878603,5.84330000812882
"1214:19","i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.",5.1,4.41081849300423,4.79799992859486,5.04006384757255,5.34922003457041,4.95161035835607
"121569:26","i just wish they'd bring some of the old characters back.",5.6,4.24559707830034,5.31230915469292,4.72773765004469,4.35370445538462,5.36146775701054
"121757:115","if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts.",1.5,2.6845439743031,2.79669360386563,3.61775810495999,2.94915670838762,2.84571888756037
"121757:134","if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts.",3,3.01094137032357,3.06994845351894,3.75423319009267,3.19647996800852,3.14616186036342
"121757:169","if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts.",2.8,2.72767040398369,2.90474666364393,3.35947414977507,2.8490648825419,2.94262449683004
"121757:84","if i was having a dinner party i would probably, um, have some, um, some, uh, um, some fruit to start with  with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips  around and peanuts.",2.1,2.94641652021131,3.02077736715519,3.47164704579843,2.86878271458568,2.99927041444981
"121775:13","um, maybe some rolls and, um, i guess  some, uh, some rice or something like that.",2.3,3.02757011228087,2.50180536987523,3.22463525510247,2.84506183022222,2.49261344559534
"121775:50","um, maybe some rolls and, um, i guess  some, uh, some rice or something like that.",2.7,3.28008048309114,2.74543925816337,3.27042551692807,2.87593361508705,2.68209588095345
"121783:13","that would take some planning",1.4,3.02185697828188,2.21158035271199,3.07309362066476,2.73037078105879,2.18554443419586
"121793:107","you know, i want to, i want  to throw some charcoal on the grill and, and throw a steak  on there and some baked potatoes and stuff like that",3.1,3.80713152944398,3.00919714452594,3.38623454794569,3.43317372085902,2.96279689731458
"121793:56","you know, i want to, i want  to throw some charcoal on the grill and, and throw a steak  on there and some baked potatoes and stuff like that",1.9,3.34856359473531,2.4531631026781,2.98499823483121,2.88175893303041,2.36665931897105
"12194:43","well you might, uh, generate some yeah, you might generate some interest in it.",1.8,2.83765926832526,2.19785891306371,2.99581976136789,2.80566110574065,2.17475958389854
"121941:10","they have some delicious, delicious things,",3.4,3.66453309149294,3.20654935747116,3.84239602341651,3.7646361248539,3.29392435748784
"122421:31","uh, what, what are some of the shows that you have been able  to rent   though.",3.9,4.68332077850754,4.37741097989386,5.01344885497544,5.00721569388565,4.51037068690192
"122706:39","where they may have just had a teaching major and then had some social studies courses",2.6,2.81986817082515,2.78958188865373,3.97154799263832,3.36768878295472,2.96236073430804
"122792:22","well, if you play with some consistency though, you can get it right back down.",2.4,2.95641843499864,2.62320899940494,3.37815601082349,2.87291146100809,2.61569913864267
"122893:11","that's some cold golf too, isn't it.",2.4,2.49274814588088,2.8302917748309,3.71135902049998,2.98844263193063,2.91201068906353
"123034:17","i know maybe some of the big things that, uh, uh,",3.8,4.12323141016802,3.09922357382192,4.88528625300892,4.64297142176965,3.32412267921474
"123419:8","and some paper or something in the super dome up in the roof caught on fire.",2.7,3.68681401317325,2.67268504495927,3.3293692636217,3.39825493233164,2.52490360688604
"123714:38","we're supposed  to have a chance to get some rain the next couple of days here, uh, which  will be, you know, a little bit more typical, uh, autumn weather.",1.9,3.60414477998744,2.24875710984962,3.20215544748197,3.00612371662441,2.21398545246617
"123797:41","i was up, i was up there cutting some firewood this weekend,",3.5,2.04058705880239,3.22435900715959,2.84549297555722,2.17709012113288,3.05639767520131
"123812:31","uh, it, there's some trees like the oaks,",4.3,3.00215651985641,3.97893128333768,3.86973235766908,3.43132232344427,3.97419775240588
"123916:50","i don't know who  played when and who  does what like some guys are.",3.1,4.0655634538073,2.94461988206184,5.18187158976106,4.74286173873571,3.23949306350451
