Item_ID	Sentence	20-b
1282:24	i wonder if there would be some way we could get these people to do this get their names, their addresses, and their phone numbers and then reverse it, and do --n4049dd,	###and i've put, in,###i don't know how much clearer it can be --n40413c,###it's a red sign with silver letters saying no soliciting.### i should have, i guess i should make another one that --n40427d says religious or otherwise, cause i still get,###.###yeah,###yeah,###that's true,###yeah.###no### i don't, uh, i don't have, i didn't go that far###but, uh, yeah###i probably could do the same thing, uh, you know,###i don't have a storm door,###but i'm sure i could rig up something.###but you know i don't think that that would stop people.### i, it's like they see that word###and it says go, instead of stop.###oh, goodness.###.
1638:23	i think there is still some discrimination there where as, you know, men and women work in the same job --n40581d,	###uh-huh,###i guess i take it for granted, kind of, because, i just,###it's always been that way.###.###uh-huh.###.###but i know,###.###yeah,###but i can rem-, remember back growing up, my mother,###i mean it was###she always worked,###but it --n405479 wasn't that easy for her to just take off.###.###oh no,###i can remember my mother getting in trouble if, you know, one of was sick,###and i know she probably didn't make hardly anything, you know, compared to the work that she did --n4056ab.###.###oh yeah.###.
1686:32	and, uh, quite honestly, i, i have some little children	###i sure will.###bye-bye.###.###okay,###bye-bye.###.###.###hi.###.###hi,###um, okay### what, now, uh, what particularly, particularly what kind of music do you like --n4000c3.###.###well, i mostly listen to popular music.###i, uh, listen to it all the time in, in my car,###so, i, i tend --n400309 to be one of those people who --n40032c switches stations a lot because i don't like commercials.###but, uh, i find myself listening to popular music,###.###yeah.###.
1843:22	i mean i've heard some songs that, that i just thought --n4043ac were horrendous cover versions of,	###.###and, he, he since then has, has amended that, and paid them his royalties every time the, the song goes on --n403af9###but,###.###yeah.###i don't know### it may have, it may have been somebody else, because i think, i think that even jimi hendrix did it,###i think that was a cov-,###you know, come --n403ecb to think of it, i think that was a cover version of, like a john lee hooker song, or something,###.###maybe so.### i, i, can't think.###.###i mean it was just like,###it was really old.###.###.###i mean i, i,### there are a lot, there are so many different songs,###i mean like the whole thing about cover versions a lot of times.
1939:10	i saw some promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties --n406569.	###no.###.###i mean, the comparison made between new kids on the block with the beatles. it was just,###.###you can only laugh.###.###yeah,###you just sort of,###you know, well i guess i can just humor them, you know. at this point.###.###right###well, they,###i guess our age is showing when, we, we think that --n406222.###.###yeah,###but well, you know, i, i, i've liked a lot of the new music.###i think, um, um, when###.###uh-huh.###.
1986:25	because, i mean, there are some	###.###well, world music is, um,### a lot of the, a lot of where they, where they make music that they adapt --n40727e to a, to another kind of, to another type of listener --n4072c5.###.###uh-huh.###.###uh, for example, let's say you're taking like an original brazilian form of music and, with a certain style,###and then you try --n40762a to make it a little bit more listenable for, let's say --n407669 another audience, let's say --n40768c a north american.###.###uh-huh.###.###and, then when they hear it --n407805, it, it's a really, it's another form of music,###and, you know, sort of, um, trying --n407986 to draw out the best sources.###.###um.###.### the, the best of every type of music.###.###right.###.
1988:12	there are some, you know, types of heavy metal that i really like --n407c64,	### a lot of the, a lot of where they, where they make music that they adapt --n40727e to a, to another kind of, to another type of listener --n4072c5.###.###uh-huh.###.###uh, for example, let's say you're taking like an original brazilian form of music and, with a certain style,###and then you try --n40762a to make it a little bit more listenable for, let's say --n407669 another audience, let's say --n40768c a north american.###.###uh-huh.###.###and, then when they hear it --n407805, it, it's a really, it's another form of music,###and, you know, sort of, um, trying --n407986 to draw out the best sources.###.###um.###.### the, the best of every type of music.###.###right.###.###because, i mean, there are some##, i mean, i, i li-,
2006:5	some of it,	###because, i mean, there are some##, i mean, i, i li-,###there are some, you know, types of heavy metal that i really like --n407c64,### but, but i wouldn't, i wouldn't say that i, i completely like heavy metal.###.###no.###.### i, i think, you know,###and it's the same way with, you know,###world music takes the forms that --n407fd3 have really been, um, i guess, i you know, the best example or, you know, the cream of the crop, i guess you could say,### and then, and then taking those, those qualities, and then applying, in the styles, that --n40827f are really, um, that --n40829e are extremely enjoyable, and then taking,###.###so then it becomes a kind of music of, of its own, so to speak,###or, uh,###.###yeah,###yeah,###it becomes a kind of music of its own.###i mean, when you listen to it --n40866f, it's um, uh,###i think that they don't use, elec-,
2100:38	um, it takes some, it --n4015d6 takes some dedication to do it,	###a running total.###.###.###yeah.###.###what do you all do --n400b65.###.###uh, we've, we've, uh, taken how much we have --n400bf7, you know, write down how much we have --n400c26 coming in each month###and then, uh, we've,###at the beginning of the year we sat down and determined how much we could spend --n400e2d.###we sat dow-, made up different accounts like, you know,###we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that###and then we write down each, each time we spend something --n401189, we write down in a book###and at the end of the month we tally it up --n4012bc to see how close we, you know### we, we try --n4013bd to stay within a certain budget,###so.###.### is it, is it --n401499 hard to keep track of it###or does it work out pretty well.###.
2180:39	so we have, both of us have some money in an i r a that we're also trying --n40381f to figure --n40382e,	###.###uh-huh.###.###so, we don't have any long term, you know, in stocks, or anything like that right now,###so.###.###yeah,###mostly what we're doing, we've worked, we've done --n403075 the, uh, coda account with t i where they, we put in so much a month --n4030c8,### and then they,###or so much a pay check###and then they match it.###.###yeah,###that's what we're doing --n40338c.###.###so that's, that's worked out pretty good###and then, i used --n4034a8 to work for t i###and i have,###when i retired from there, or left --n40357e, i took the money i that i had --n4035ad in mine and put it in an i r a###and we had an out, we had an existing i r a
2199:135	and they did an analysis --n40444a for us based on what we were putting --n404471 in and the time frame that we wanted --n404498 to look at --n4044ab, and then gave us a good idea back, you know, some good information --n4044fa back on whether or not we were going --n404525 to achieve those goals, and, or not, and what we needed --n404564 to do --n404573 so that we could achieve them and the money we could put --n4045ae in at what time.	###and we had an out, we had an existing i r a###so we have, both of us have some money in an i r a that we're also trying --n40381f to figure --n40382e,### to, put it, we're putting it in c d's right now,###.###uh-huh.###.###and then we're also looking at it in --n403a75 possibly getting a mutual fund.###.###yeah,###when ever we get enough saved --n403b54 we stick it in a c d for a while### and, then, uh, you know and then when, if we need it we wait until it, it's expired### and then so,###.###yeah.###the other thing that we've done --n403e67, that, that --n403e7e was really nice to see --n403ea1, we had one of the financial companies, um,### han-, uh, john hancock company came out###and their agent did a long term analysis based on salary and, uh, what we were pla-, what, what our, uh, goals were --n404121 on a long term budget in terms of retirement, kids college, paying off the house, buying a different house, um, special thing, buying land and building our own house###.###uh-huh.###.
2335:27	well, uh, maybe i am into some things --n402ab3 occasionally that i don't think of --n402ad6 in terms of self improvement.	###.###yeah.###.###uh, one of its great slogans is if you're not serving the customer, you better be serving someone who --n402297 is.###.###uh-huh.###.###uh, so that's all in self improvement to stay focused on who the customer is --n402405###and as you probably well know, all of us are our own customer.###you're my customer, i'm your customer, sort of thing.###.###right.###.###um, every now and then i'm loaned --n402668 a tape i can stick --n402687 in the, uh, in the car cassette set on the way home to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which --n40276a all, you know, betters yourself.###.###yeah.###.###.###yeah,###yeah,
2345:21	i, uh, have attended some seminars that --n402d8c had some tapes that --n402da3 went with them, but, uh, i guess not so much books although they sometimes have manuals and things,	###.###right.###.###um, every now and then i'm loaned --n402668 a tape i can stick --n402687 in the, uh, in the car cassette set on the way home to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which --n40276a all, you know, betters yourself.###.###yeah.###.###.###yeah,###yeah,###well, uh, maybe i am into some things --n402ab3 occasionally that i don't think of --n402ad6 in terms of self improvement.###.###uh-huh.###.###i mean they are###but i don't label it as such.###.###like what for example.###.###well, i don't know, um,
2345:39	i, uh, have attended some seminars that --n402d8c had some tapes that --n402da3 went with them, but, uh, i guess not so much books although they sometimes have manuals and things,	###.###right.###.###um, every now and then i'm loaned --n402668 a tape i can stick --n402687 in the, uh, in the car cassette set on the way home to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which --n40276a all, you know, betters yourself.###.###yeah.###.###.###yeah,###yeah,###well, uh, maybe i am into some things --n402ab3 occasionally that i don't think of --n402ad6 in terms of self improvement.###.###uh-huh.###.###i mean they are###but i don't label it as such.###.###like what for example.###.###well, i don't know, um,
2400:27	you could almost label everything quality in some sense or other	###.###i don't know,###i'm not sure i could take too much of stephen king.###that's a little, little heavy for me.###.###yeah,### they're, uh, quite, uh, they're hard to set --n40439b down because it's so interesting###and, of course, they're all just a little spookier than the movies,###but, uh, it's always, they're always challenging to get through --n4045ac one of them.###.###yeah.###.###i have a hard time finishing books.###.###well i guess i also have been reading, uh, a lot of things on, uh, quality improvement and that type of thing because that's what i'm involved in --n4047d7 a lot at work.###.###uh-huh.###in quality, especially now days, uh, that's almost everything that --n4049af comes across the, the, the airways mumblex.###.###oh, yeah,
2454:46	and where we are --n4008ca now, what we're doing --n4008e9 is some very big lawsuits that --n400908 happen --n400913 to have a heck of a lot of boxes of documents.	###.###bye-bye.###.###.###okay, um,###i don't know about you###but where i am --n4000aa we have a like an extremely lax dress policy at work###and it varies like every day. i mean from jeans one day to business suits the next.###.###.###it's pretty bad,###but it's true, you know,###they tend --n40032a to try --n400339 to be, you know, real lax###and supposedly the policy is like, you know, we, you know, we, hire these wonderful creative people###and we don't want --n400531 to smush their creativity, you know.###we want --n4005de to go ahead and let them do what ever they want --n400611.###and, you know, you really will see people in in jeans one day and business suits the next.###.###well, i'm kind of that way too.###i work in the legal department
2582:17	well i've seen some people try --n4042ff to just come in like over the weekend because they want --n404332 to use the texteller machine.	###you know, i mean, mumblex as far as i'm considered --n403a84, she was in violation###and nobody says anything to them.###it's always been a big problem in lewisville in the summertime.###.###um.###.###you know, if they just, you know,###the management doesn't ever seem --n403d30 to want --n403d3f to take an, cut off, you know, that no, this is wear we're going --n403d92 to draw the line --n403da9.###this is shorts, you know.###.###yeah.###.### and, and nobody will ever kind of take control and do that, you know,###.###um.###.###so, it always gets annoying because the rest of us are going, well god, we have a pair of those at home too.###it --n4041f7 sure would be cool and comfortable to wear, you know,###but.###.
2722:7	and some of the patent attorneys have been real casual in their clothes	###and they're in jeans,###so, you know.###.###some of our people in the legal department,###we have, um, assistants to the general counsel###and it's funny###because, there's one that --n407a4d always wears a suit.###a matter of fact, he's never seen --n407b04 without his jacket to the suit on, buttoned.###.###really, wow.###.###and then there's another one who --n407c38's, who --n407c4b's a little younger and a little more yuppish###and he's always kind of like in the khaki pants and, you know, a shirt,###.###uh-huh.###.###and sometimes he wears the jacket to it.###.###yeah.###.
2767:14	i've done some of the other speech programs,	###or it would me, you know.###.###it's one of those slippery attorneys coming in here.###.###yeah,###yeah,### look at this slick guy,###i wonder what kind of money does he make --n409055,###uh-huh.###.###.###i can see it now.###well it --n409145 was good to talk to you.###it was really enjoyable.###.###yeah,### this is, this is kind of a fun project.###.###it really is.###.
3029:19	i've known jack for some time.	###so, uh, is there any,###i'm not sure how long we're supposed --n403cad to talk --n403cbc.###.### it's, um, it's just as long as you want --n403d85 to.###.###oh. o-,###.###i mean it's just, uh, as long as you want --n403ec6 to, and just, you know, a reasonable lengthy conversation.###uh, do you work for texas instruments.###.###no,###i do not.###i work for g t e.###.###oh, okay.###.###and, i, uh, of course, was, i was sent --n40419a a, uh, an application from, uh, from jack.###.###uh-huh.###.
3209:48	so, so then we got, we got some same things because,	###.###yeah,###that's cool.###.###right.###.###and, how about the rolling stones.###.###oh, sure,###sure###i went to their concert last year when they were here --n400900.###.###oh, that's when, that's when they took, toured --n4009c6.###how about, um, pink floyd.###.###sure,###yeah,###i like them.###.###okay.
3226:17	like, give me some examples.	###i like them.###.###okay.### so, so then we got, we got some same things because,###.###okay,###well, i just didn't know that much about music###and i wasn't sure what kind of music.###.###no,###it's very hard###because, see, well, i mean, in the whole spectrum i'd rather listen, you know,###i listen to heavy metal or classic rock.###.### what, what kind of heavy metal are we talking about --n400fa6.###what,###.###we're talking about what they, what they call --n401087 hard rock.###.###okay,
3297:34	that's, that's what some people call like --n4025d2 really heavy metal.	###.###and they just bump into each other,###.###uh-huh.###.### like, like they hit each other with their shoulders,###.###uh-huh.###.###and, then, you knock people down,###and what you do --n40223b is, you also try --n40225a to get up on stage and jump down on top of all these other people.###.###is that the kind of music that you like --n4023c7.###.###no,###i don't like that music.###.###oh, okay.###.###but, that's, that's what they do --n40250c.
3372:16	they came up with some pretty weird stuff after that.	###yeah,###yeah.###.###yeah,### that, that was great.###i heard that the other day on the radio###and i pumped it up.###.###.###because, i mean, i just love that song.###.###yeah,### that, that was a real good one.###.###yeah,###but they had,### that, that whole record was pretty good.###but then, they started --n403829 going downhill like everybody else.###.###well, that's true.
3798:43	and, uh, there's, uh, there's some petting, you know, like, uh, uh,	###.###oh, yeah,###we,###i guess there's science place one and science place two.###we've only been in, i think it's --n402e80 science place two.###.### i, is, i'm not sure which one we went into --n402f61,###it was about a year or so ago, when we went --n403044.###.###the one we went in --n4030e5 had, uh,###the thing that --n40317b sticks out most in my mind is that, like a kid's place area.###.###uh-huh,###yeah.###.### that really seem, they really seemed --n4032db to go wild in there.###.###yeah,###yeah###they had a lot of fun in there
3878:16	well i've gotten some good ideas from you.	###and then all the, the, the rides are free.###you know, of course, they have all the little video games and, you know, those little quarter rides, you know, --n40481e to, and stuff like that###but, they thought that was lot of fun.###.###yeah.###.###you can have birthday parties there###an, i think that was better than like showbiz pizza cause there's more for them to do --n404ac0.###.###because they can just do,###you don't have --n404c1a to have tokens for everything.###.###yeah,###right.###.###yeah.###.###so they had a lot of fun.###.###that does sound like fun.
4008:21	he did, well, in some of the later movies	###i used --n4011fc to like him too,###he was my hero.###in fact, i like sean connery to this day.###.###well, they're showing uh, live and let die at this moment,###.###yeah.###.###and, it is the first appearance of roger moore as double oh seven.###.###yeah.###.###so,###.###oh, he can never cut it.###.###no,###no###that's true.###i was just thinking that today,
4457:24	so, there must be something to some of them.	###so, it's the, it's, it's the, the act-, well it's actually,###it's interesting, because there are re-, real regional differences.###um, in california there's, uh, almost an assumption, um, unless you're, sort of, clearly of an older generation --n403b8b, or something, you know, in your sixties, or something like that,###.###.### i'm, i'm, i'm not.###uh, there's an assumption that you do something for your physical fitness, and, and, at least in urban california.###and, maybe not,###i don't know about rural california too well.###but, in urban california it's just, you know,###for all i know --n4040ac aerobics started out here.###i don't know where they actually started --n404162,###but they, you know, the craze really picked up big here###and before that there was the running craze.###and, they,###california gets, you know, tends --n404354 to be a bit faddish,###but, the remarkable thing is how well the fads catch on elsewhere --n40444c.###.###uh-huh.###.
4489:44	and, uh, so it's had that orientation for quite some time.	###.###and, i,###it's curious, i don't know why, don't know if it's,###do you,###does california have a,###.###well, there's a sense of it being a package,###.###.###i think. there, there is a sense of, you know, whole,###there's a lot of, you know,###you'll get organizations, like institutes for the whole health, or whatever.###and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which --n404f25 is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that###.###uh-huh.###.### and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.### it, it's on fairly so-, solid scientific ground.###uh, it's just dispensed --n405384 with these distinctions.###it says ever-, all sorts of factors go into health and there's no reason to talk about one rather than another --n405470, so that they, they combined them all together.
4490:19	um, there's been some progressive medical schools --n40572e out here, that --n405745 have taken that approach.	###and, i,###it's curious, i don't know why, don't know if it's,###do you,###does california have a,###.###well, there's a sense of it being a package,###.###.###i think. there, there is a sense of, you know, whole,###there's a lot of, you know,###you'll get organizations, like institutes for the whole health, or whatever.###and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which --n404f25 is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that###.###uh-huh.###.### and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.### it, it's on fairly so-, solid scientific ground.###uh, it's just dispensed --n405384 with these distinctions.###it says ever-, all sorts of factors go into health and there's no reason to talk about one rather than another --n405470, so that they, they combined them all together.### and, uh, so it's had that orientation for quite some time.
4528:7	and some of them fizzled out	###.###yeah,###the more money they put --n405f66 into it.###.###yeah.###and,###.###i can see that.###and, cause, i,###knowing###from institutes of learning like that, i know that they've got --n4060ef to get their money somewhere,###and somebody's got --n4061e4 to be willing to pay for it, and believe in it,###so,###.###yeah,###yeah.###exactly.###and, part of it is california, you know, in, back in the sixties, had a lot of alternative movements###.###.
4529:7	and some of them were disastrous	###yeah,###the more money they put --n405f66 into it.###.###yeah.###and,###.###i can see that.###and, cause, i,###knowing###from institutes of learning like that, i know that they've got --n4060ef to get their money somewhere,###and somebody's got --n4061e4 to be willing to pay for it, and believe in it,###so,###.###yeah,###yeah.###exactly.###and, part of it is california, you know, in, back in the sixties, had a lot of alternative movements###.###.###and some of them fizzled out
4591:50	but they, you know, they live to a hundred and ten some, you know,	###.###.###yeah,###well i, i think so.###.###as a fit person.###.###i mean you, you've,### if you look at cert-, if you look at other cultures,###like i know a little bit about people who --n407dc1 were considered --n407dd0 very healthy in china###and they don't do very much vigorous exercise at all.###but, they do a lot of low keyed, low impact, low stress exercise,###and they combine it with a, you know, meditation or whatever. some sort of relaxation###.###uh-huh.###.###and, they seem pretty, you know,###they don't have the hard body.###they don't have that perfect look,###and an awful lot of exercise is sort of image conscious.
4795:25	you know, i mean, some of these guys are forty years old and got ten convictions.	###.###.###huh-uh.###.###if someone is known --n4018f2 to have been in prison, they can't get a job.###.###no.###.###you know.###.###yeah.###.###they can't be accepted --n401a44 into society.###you know, if they're not going --n401ac8 to be accepted --n401adb into society, then everybody's going --n401afe to become sociopathic.###.###huh-uh.###.###and, you know, who --n401c3a's --n401c45 to put the limit on it.###i mean, i was watching a thing last night, up in washington state.###if you get convicted --n401dd2 of, uh, sexual offenses, on a regular basis.
4836:19	at least they might get some benefit in that,	###hey, people make mistakes.###.###yeah,### to go ahead and let them go,###but if they do it again and they really need --n40272f to face the consequences then, uh.###.###well, yeah,### use that###or, you know, there's other consequences rather than killing them, you know,###you could, always make them the slave of the people they committed the crime against --n4029a6.###.###oh.###.###.###huh-uh.###.###you know.###.###yeah.###.
4837:47	and if the people they committed a crime against --n402b93, feel, at some later date, that these people have learned their lesson, are, are okay, you know, well, they can free them.	###.###yeah,### to go ahead and let them go,###but if they do it again and they really need --n40272f to face the consequences then, uh.###.###well, yeah,### use that###or, you know, there's other consequences rather than killing them, you know,###you could, always make them the slave of the people they committed the crime against --n4029a6.###.###oh.###.###.###huh-uh.###.###you know.###.###yeah.###.###at least they might get some benefit in that,
5001:23	they made a position for them some where.	###.###now, you know, people get fired --n405ae8,###or what --n405b5b's even worse, is they promote them into a position that they can't handle --n405ba6 and let them get fired --n405bc1.###.###yeah.###.###or, one thing or the other.###you look at another kind of society like the japanese.###you put that many people on that small of a space, they've learned --n405e15 to live together.###okay.###it's in their culture.###.###huh-uh.###.###and one of the things that --n405f7a's in their culture that i really think the major corporations should pay attention to --n405fc1, is the fact that, while japan was becoming a great power, financially, the people that --n406014 worked for those companies, worked for the same company they worked for --n406053 at sixty-five, as they did when they were eighteen --n406082.###.###teen.###.###and the company, took it upon itself to find a position for these people.###if they weren't fit for the job they were hired --n40642f for, they didn't just can them,
5140:15	and that does take some time.	###yeah,###there's lots of pinks and greens.###.###pinks and greens.###yeah.###.###there's lots of shades of greens.###but the colors,###i just love all the different colors.###.###yeah.###.###they had quite a few new ones come out last year, that they added to --n401e91.###but, you don't have much spare time either.###.###well, not lately.###i just started a new job###and trying to get acclimated there.###.###oh, yes.
5156:27	i've been trying --n40246a to do some bibs for him. and, uh, work on his christmas stocking.	###i just started a new job###and trying to get acclimated there.###.###oh, yes.###and that does take some time.###and if we're trying --n402143 to get acclimated with the, uh, with having a baby,###and mumblex.###.###yeah.###how old.###.###he's seven months old.###.###oh, yeah.###.###and just into everything,###so there's not a spare moment.###.###.###oh, but i wouldn't trade it for the world.
5366:34	uh, we had some, uh, some people from our church --n401218 went to israel, uh, just for a, uh, tour sort of thing.	###.###yeah.###.###that's the only thing they broadcast --n400c40###and like you i listened to radio on my job at work.###.###uh-huh.###.###and all this week they have been having this, uh, a discussion about that is why, uh, why c n n was###well, i listen to a christian radio station.###.###uh-huh.###.###and they were saying that c n n is definitely a world, uh, news service###and, uh, they,###it was,###you can't really be sure of the quality of what you've got --n4010f8, you know.###.###huh.###.
5480:20	but, uh, i know some people at t i,	###.###what part of california are you from --n40305d.###.###uh, from los angeles,###but i live in raleigh, north carolina, right now,###that's where i am speaking to you from --n4031b5.###.###oh, okay.###.###but, i grew up in l a.###i work out here.###.###huh, you work for t i.###.###no,###i don't.###i work for north carolina state university.###.###huh.###.
6395:54	well, you know, t i, you know, t i offers some good stuff	###.###yeah.###.###.###yeah.###exactly.###.###and, then her little brother's only two years behind###.###exactly.###.###and he says, well, i don't know,###i think that i probably want --n406213 to be a veterinarian.###and i said, that's great.### let me explain to you how you get scholarships, to do that --n40634a.###.###that's right,###.###.###that's right.
6396:60	and then i think there's, i mean i think there's some negatives,	###yeah.###.###.###yeah.###exactly.###.###and, then her little brother's only two years behind###.###exactly.###.###and he says, well, i don't know,###i think that i probably want --n406213 to be a veterinarian.###and i said, that's great.### let me explain to you how you get scholarships, to do that --n40634a.###.###that's right,###.###.###that's right.###well, you know, t i, you know, t i offers some good stuff
