Item_ID	Vector_Representation
125802:14	-0.0296489130705595,0.42831727862358093,0.36222273111343384,-0.18896955251693726,-0.22396725416183472,0.3198454678058624,-0.285969078540802,0.13748200237751007,0.12914128601551056,-0.17612110078334808,0.2252725511789322,-0.0430547259747982,0.23648600280284882,0.05685299634933472,0.22281183302402496,-0.1594821810722351,0.03470144420862198,0.39640989899635315,-0.2588338851928711,0.5799899697303772,0.43179214000701904,0.46141499280929565,0.08244182169437408,-0.2918514907360077,-0.041506361216306686,-0.10167963802814484,-0.09079436957836151,-0.5147445797920227,-0.026940135285258293,-0.29051002860069275,-0.0699593722820282,0.28856971859931946,0.11633472144603729,-0.133849635720253,0.11391782015562057,0.2798120975494385,-0.21760691702365875,0.24654655158519745,0.17953819036483765,-0.19898825883865356,-0.14621193706989288,-0.3085081875324249,-0.05174054950475693,-0.5076897144317627,-0.2732798755168915,-0.04270297661423683,0.31128865480422974,-0.10370636731386185,-0.06153363361954689,-0.8121610283851624,0.013025503605604172,-0.07235424965620041,-0.043712910264730453,0.9349473714828491,-0.18576718866825104,-2.2756972312927246,0.01097636017948389,-0.20623473823070526,1.449640154838562,0.46904581785202026,-0.21722592413425446,1.1496554613113403,-0.43878796696662903,0.005164599046111107,0.7439436316490173,0.04614127799868584,0.6262490749359131,0.20055927336215973,0.09858444333076477,-0.19132891297340393,-0.13181354105472565,-0.251749187707901,-0.08985608071088791,-0.27401667833328247,0.08757054060697556,0.17189708352088928,-0.011331274174153805,-0.12558387219905853,-0.49383318424224854,0.025764085352420807,0.5954599976539612,-0.028543274849653244,-0.5957654118537903,0.09456048160791397,-1.3715319633483887,-0.1348634511232376,-0.07667455077171326,-0.12705208361148834,-0.31005606055259705,-0.36384642124176025,-0.07711214572191238,-0.04049685224890709,0.08001545071601868,-0.11135684698820114,-0.8022972345352173,0.017362002283334732,-0.2665412724018097,-0.31203845143318176,0.45686817169189453,0.3472418487071991
125857:6	-0.07241599261760712,0.22879740595817566,0.19633400440216064,-0.2924500107765198,-0.1632421910762787,0.2652580142021179,-0.12095220386981964,0.2650732100009918,-0.0009099960443563759,0.009306395426392555,0.05198999494314194,-0.013598406687378883,0.28705960512161255,-0.02134399488568306,0.09403999894857407,-0.21612000465393066,-0.06439520418643951,0.15522940456867218,-0.26457661390304565,0.2899017930030823,0.2233171910047531,0.02653699554502964,0.1616712063550949,-0.09324799478054047,0.12002400308847427,-0.0678626149892807,-0.3062143921852112,-0.4526994228363037,0.16068749129772186,-0.4261941909790039,-0.1479160040616989,0.4369974136352539,-0.2617577910423279,0.10231779515743256,-0.31169000267982483,0.47356200218200684,0.017471199855208397,0.03727000206708908,-0.1258821189403534,-0.02091199718415737,-0.6335305571556091,-0.2812337875366211,0.3384934067726135,-0.3456098139286041,-0.23985159397125244,-0.1965561956167221,0.4006412625312805,-0.47551196813583374,0.2926029860973358,-0.5171059370040894,-0.09228779375553131,-0.22436842322349548,0.15606139600276947,1.0137499570846558,-0.20681002736091614,-1.8369779586791992,-0.001124602509662509,-0.2842203974723816,1.1588300466537476,0.8556439280509949,-0.06772980839014053,0.9348059892654419,-0.33464980125427246,0.09470559656620026,0.4840700030326843,-0.04037200286984444,0.5324059724807739,0.29752999544143677,0.22689922153949738,-0.1975671947002411,-0.05106600373983383,-0.4301425814628601,0.05430159717798233,-0.19107899069786072,0.07077492773532867,0.23651620745658875,-0.05629120394587517,0.07511600106954575,-0.775551974773407,0.02650899812579155,0.6185740232467651,0.06196440011262894,-0.44332998991012573,0.15664668381214142,-1.2360299825668335,-0.24799080193042755,0.16107884049415588,-0.1191614419221878,-0.21197399497032166,-0.25277799367904663,-0.009324598126113415,-0.35225600004196167,-0.07201199233531952,0.14143601059913635,-0.641901969909668,0.23625001311302185,-0.27725541591644287,-0.09258336573839188,0.23330721259117126,0.2944703996181488
125903:18	-0.22976095974445343,0.31187960505485535,0.4318715035915375,-0.35598599910736084,-0.40790653228759766,0.1721089631319046,-0.048879243433475494,0.339295357465744,-0.00798790343105793,-0.005856344010680914,0.14787760376930237,0.0810304656624794,0.3662886917591095,0.048469629138708115,0.15642474591732025,-0.3217821419239044,-0.0002744412049651146,0.208942249417305,-0.5038722157478333,0.3295009732246399,0.33673492074012756,0.0454305000603199,0.11353562027215958,-0.06398771703243256,0.1427399069070816,-0.05742104724049568,-0.08087590336799622,-0.5535715818405151,0.14721742272377014,-0.2922242283821106,-0.15311510860919952,0.40048351883888245,0.06049384921789169,0.006630305200815201,0.07982043921947479,0.3416430950164795,0.03854475915431976,0.42414551973342896,0.06080165505409241,-0.2081865519285202,-0.454904705286026,-0.1104777455329895,0.13866916298866272,-0.4270923137664795,-0.19589045643806458,-0.07486698776483536,0.43069377541542053,-0.44511693716049194,-0.15140046179294586,-0.8644970059394836,0.051942598074674606,-0.004940335173159838,0.08256299793720245,1.03403902053833,-0.23858126997947693,-2.460148334503174,0.0165814608335495,-0.15932650864124298,1.5931531190872192,0.687596321105957,-0.18700699508190155,0.9292865991592407,-0.26131707429885864,0.061990927904844284,0.8686553239822388,0.10883493721485138,0.5897502303123474,0.320757120847702,0.03659974783658981,-0.2632375955581665,0.09025020897388458,-0.3888923227787018,0.05587400123476982,-0.347226619720459,0.11647889763116837,0.0961485505104065,-0.1253514140844345,0.02221779152750969,-0.9537250399589539,-0.017885752022266388,0.6011499762535095,-0.16647787392139435,-0.6610969305038452,0.14769013226032257,-1.6246925592422485,-0.17735321819782257,0.12558068335056305,-0.2607383131980896,-0.20003139972686768,-0.4436708092689514,-0.057513900101184845,-0.19319887459278107,-0.12027611583471298,0.11720138788223267,-0.5230394601821899,-0.037793148308992386,-0.25771549344062805,-0.48355549573898315,0.43632563948631287,0.33056849241256714
12596:58	-0.15880721807479858,0.1338198184967041,0.5145584940910339,-0.18016286194324493,-0.19399374723434448,0.08589688688516617,-0.3096390664577484,0.055143944919109344,0.06941395998001099,0.019537052139639854,-0.06380067765712738,0.016914211213588715,0.3234315812587738,0.07869831472635269,0.0423336923122406,-0.21925628185272217,0.1038038432598114,0.09005409479141235,-0.4814637303352356,0.17399685084819794,0.22092005610466003,-0.020326893776655197,0.21672888100147247,-0.0937490463256836,0.08641872555017471,-0.13180837035179138,-0.07877716422080994,-0.5179450511932373,0.11115681380033493,-0.25540754199028015,-0.08749252557754517,0.3511340916156769,0.005027915351092815,0.05524730682373047,0.06855052709579468,0.23258399963378906,0.16257205605506897,0.31004902720451355,-0.01415002066642046,-0.26904115080833435,-0.46695342659950256,-0.2644277513027191,0.05984678864479065,-0.5559535026550293,-0.29159805178642273,-0.016880737617611885,0.3066403865814209,-0.2433788925409317,-0.12784963846206665,-0.8723621368408203,-0.044273268431425095,0.1140071228146553,0.06364317983388901,1.1970220804214478,-0.21184155344963074,-2.3606204986572266,0.18765509128570557,-0.3089395761489868,1.539899468421936,0.4426031708717346,-0.23853856325149536,0.9239380359649658,-0.42022037506103516,-0.01437425147742033,0.8022204637527466,0.15677742660045624,0.4447897970676422,0.30841943621635437,0.17282171547412872,-0.21117140352725983,0.14341792464256287,-0.37250620126724243,-0.12925033271312714,-0.4838230609893799,0.3678378164768219,0.1390407383441925,-0.1636374294757843,0.017643574625253677,-0.8042647242546082,0.04430384561419487,0.6742642521858215,-0.013829204253852367,-0.5599741339683533,0.12373841553926468,-1.299680471420288,-0.029705211520195007,0.012906310148537159,-0.19352835416793823,-0.29704347252845764,-0.362811416387558,0.0007782766479067504,-0.10204176604747772,-0.22202828526496887,-0.026241248473525047,-0.5527656078338623,0.04513368010520935,-0.13446547091007233,-0.25746995210647583,0.42277395725250244,0.2413683980703354
12611:177	-0.06946468353271484,0.2602819800376892,0.3744080662727356,-0.26238223910331726,-0.24742045998573303,0.11405925452709198,-0.1680697500705719,0.18083786964416504,0.091338612139225,-0.0747527927160263,0.22619812190532684,0.09567350149154663,0.23945283889770508,0.03866280987858772,0.03299893066287041,-0.3147050440311432,0.021548474207520485,0.19514963030815125,-0.4573579728603363,0.2860924005508423,0.24406027793884277,-0.05942185968160629,0.08991579711437225,-0.11233041435480118,0.06796760857105255,0.07031839340925217,-0.15020860731601715,-0.5340787172317505,0.15345099568367004,-0.2746310830116272,-0.16322734951972961,0.5054212808609009,-0.038628920912742615,0.07603727281093597,0.08006567507982254,0.37774038314819336,0.159723162651062,0.16258423030376434,0.04722517728805542,-0.1936572790145874,-0.4503766894340515,-0.04388062655925751,0.05120767280459404,-0.5212376117706299,-0.3010844886302948,0.02556295320391655,0.10607816278934479,-0.19089646637439728,-0.15626603364944458,-0.7404544353485107,-0.019546478986740112,0.03142440319061279,0.1314583420753479,0.9368184208869934,-0.20587901771068573,-2.1126580238342285,0.0456305555999279,-0.14860275387763977,1.4167087078094482,0.460831880569458,-0.2379489690065384,0.546096920967102,-0.33572131395339966,0.04623904079198837,0.7345224618911743,0.18072447180747986,0.4524487555027008,0.4225277900695801,0.01850920543074608,-0.2700786590576172,0.025237852707505226,-0.4262569546699524,-0.1925664246082306,-0.4830666184425354,0.1569458693265915,-0.023695550858974457,-0.138588085770607,-0.12169945240020752,-0.6721025705337524,0.001137326704338193,0.4737319052219391,-0.029865015298128128,-0.5852816104888916,0.09698402881622314,-1.2244185209274292,-0.16883911192417145,0.06136903166770935,-0.13296273350715637,-0.20240339636802673,-0.30051735043525696,-0.15920448303222656,-0.10897314548492432,-0.18746118247509003,-0.06136758252978325,-0.46501827239990234,-0.13372446596622467,-0.12777678668498993,-0.28147634863853455,0.36020416021347046,0.26235947012901306
126165:57	-0.10331331193447113,0.14393474161624908,0.47267183661460876,-0.22694270312786102,-0.07753674685955048,0.16340962052345276,-0.09464693814516068,0.2171277403831482,-0.1900748610496521,-0.007944438606500626,0.2709943652153015,-0.05849068611860275,0.30149683356285095,0.16264036297798157,0.14746637642383575,-0.2917180061340332,0.17208001017570496,0.089413121342659,-0.3907639682292938,0.1911505162715912,0.33245790004730225,0.17305496335029602,0.383305162191391,0.0039184074848890305,0.23748844861984253,-0.14357680082321167,-0.04767540469765663,-0.43188127875328064,0.1240566298365593,-0.2601180076599121,-0.13450688123703003,0.45282796025276184,0.11340449005365372,0.1867946833372116,-0.02386937290430069,0.2661709785461426,-0.0717032253742218,0.3902002274990082,0.05612611025571823,-0.15970230102539062,-0.4191299378871918,-0.24518582224845886,0.040239375084638596,-0.3361007571220398,0.024640191346406937,0.13344882428646088,0.3647308945655823,-0.45764729380607605,0.12236084789037704,-0.6980618238449097,-0.09983587265014648,-0.00260794535279274,0.09144999831914902,1.062624454498291,-0.39918968081474304,-2.582376003265381,-0.055142126977443695,-0.22297775745391846,1.6402525901794434,0.666691780090332,-0.11150411516427994,0.9600062966346741,-0.2987210154533386,0.28799721598625183,0.7177727222442627,-0.022534623742103577,0.4378543198108673,0.10067787766456604,0.06976456940174103,-0.099830761551857,0.12251874804496765,-0.3081264793872833,-0.09197520464658737,-0.2901371121406555,0.2732735872268677,0.08341999351978302,-0.09686632454395294,-0.1287490576505661,-0.8853024840354919,0.15883250534534454,0.6041643619537354,-0.008056065998971462,-0.6379494667053223,0.1488301008939743,-1.3132493495941162,-0.1560150533914566,0.044949933886528015,-0.3581271469593048,-0.15519046783447266,-0.28872960805892944,0.034996941685676575,-0.1018378734588623,-0.17941302061080933,0.21002931892871857,-0.5991500020027161,0.08758392184972763,-0.18918120861053467,-0.16323347389698029,0.4795713722705841,0.2800801694393158
126348:16	-0.12021952122449875,0.20685698091983795,0.37249234318733215,-0.31695887446403503,-0.16497738659381866,0.3443780839443207,-0.27583882212638855,0.2331361025571823,0.04854060709476471,-0.014497701078653336,0.20623527467250824,0.026916993781924248,0.23018445074558258,0.15329252183437347,0.18769961595535278,-0.30215704441070557,0.06786970794200897,0.23979204893112183,-0.3980581760406494,0.27820420265197754,0.18878059089183807,-0.02427288144826889,0.25245583057403564,-0.04327820986509323,0.2075236588716507,0.06945139169692993,-0.2098085880279541,-0.5652157068252563,0.1413044035434723,-0.20397710800170898,0.08545302599668503,0.6191174983978271,0.004789721220731735,0.06332683563232422,0.08045600354671478,0.3695085942745209,-0.08981562405824661,0.129185751080513,0.24153980612754822,-0.24718105792999268,-0.2393988072872162,-0.34280964732170105,0.10328838974237442,-0.5123884081840515,-0.4053468108177185,0.024004310369491577,0.011235720477998257,-0.37680163979530334,-0.05838565155863762,-1.0334968566894531,0.05685544013977051,0.07544271647930145,0.08422775566577911,1.1405709981918335,-0.2779383063316345,-2.227112293243408,0.0969800278544426,-0.09711901843547821,1.8080012798309326,0.486751914024353,-0.13444703817367554,0.8626717925071716,-0.3194989860057831,0.10336626321077347,0.7830549478530884,0.10335978120565414,0.6840750575065613,0.35649439692497253,0.16234420239925385,-0.16099224984645844,-0.14269746840000153,-0.27491235733032227,0.041076309978961945,-0.5456485152244568,0.13201671838760376,0.2579518258571625,-0.09170974791049957,-0.023782923817634583,-0.6384313106536865,-0.04333066567778587,0.7081842422485352,-0.07128660380840302,-0.4923701286315918,0.09138666093349457,-1.5130723714828491,-0.24339646100997925,0.10842534899711609,-0.07384631037712097,-0.2217894345521927,-0.2697170674800873,-0.14394624531269073,-0.031031139194965363,0.1019190177321434,-0.0922771766781807,-0.6080057621002197,-0.07006144523620605,-0.1708661913871765,-0.2850688397884369,0.6395061016082764,0.2524251937866211
126455:10	-0.26964715123176575,-0.0013357102870941162,0.5384771227836609,-0.40402430295944214,-0.1596299707889557,0.16966356337070465,-0.2254791408777237,0.05270243063569069,0.04065413400530815,-0.035233430564403534,0.11495671421289444,0.1497969776391983,0.29617857933044434,-0.06267385184764862,0.23471304774284363,-0.41771799325942993,0.029770007357001305,0.10871800035238266,-0.1379275768995285,0.43946757912635803,0.21603785455226898,0.043447427451610565,0.22184398770332336,-0.047271642833948135,0.08424471318721771,-0.08219856768846512,0.08284228295087814,-0.6685900092124939,-0.24471807479858398,-0.2886179983615875,-0.11459128558635712,0.31152114272117615,-0.17063283920288086,0.17807944118976593,-0.12592713534832,0.0866711363196373,0.049192290753126144,0.38710400462150574,-0.04873400926589966,-0.23799656331539154,-0.7107428908348083,-0.13904128968715668,0.12403970211744308,-0.403807133436203,-0.10030243545770645,-0.08961428701877594,0.4298759996891022,-0.279626727104187,-0.14337357878684998,-0.4530985653400421,0.023201992735266685,-0.36030253767967224,0.03549257293343544,1.0031715631484985,-0.5161214470863342,-2.0081000328063965,0.145150288939476,-0.32232141494750977,1.4119757413864136,0.4588942527770996,-0.005561855621635914,0.6328843235969543,0.007613999303430319,0.05750071629881859,0.8337343335151672,0.09031300246715546,0.5132842659950256,0.26580342650413513,0.04560914263129234,-0.19065427780151367,0.17233729362487793,-0.10249756276607513,-0.0818202868103981,-0.2824961543083191,0.13252857327461243,-0.01355414092540741,0.04072899371385574,-0.1370638608932495,-1.0536562204360962,0.28764209151268005,0.7058756947517395,-0.10245643556118011,-0.22378568351268768,-0.142643004655838,-1.5037428140640259,-0.016931427642703056,-0.12070471793413162,-0.28770676255226135,0.11516857147216797,-0.3803563117980957,-0.05201872065663338,-0.1950225830078125,-0.24001698195934296,0.14911247789859772,-0.18458162248134613,-0.08991856127977371,-0.18280614912509918,-0.7107043266296387,0.4671019911766052,0.2501257061958313
126460:28	-0.25616177916526794,0.14185859262943268,0.3365679979324341,-0.22862470149993896,0.01137350220233202,0.039653290063142776,-0.09716199338436127,0.09466098248958588,0.12808050215244293,0.005332601256668568,0.060416895896196365,-0.05370258539915085,0.18194708228111267,-0.12174508720636368,0.10143110901117325,-0.35442763566970825,0.13862697780132294,-0.030773397535085678,-0.11571109294891357,0.3411308825016022,0.2580769956111908,0.10139769315719604,0.25329938530921936,0.06007435917854309,0.07600390166044235,-0.004306209273636341,-0.1299237161874771,-0.5678640604019165,-0.32722410559654236,-0.20487169921398163,-0.170555979013443,0.5633538365364075,-0.28947219252586365,-0.011037195101380348,0.11337640136480331,0.2900802195072174,0.014692750759422779,0.23414769768714905,-0.05590200424194336,-0.31110048294067383,-0.4836549758911133,-0.1535242348909378,0.0815579742193222,-0.43843668699264526,-0.0625700131058693,0.001174821867607534,0.36135154962539673,-0.24063649773597717,-0.24995389580726624,-0.5503381490707397,-0.09705780446529388,-0.30991822481155396,0.06429271399974823,1.1631720066070557,-0.5521151423454285,-2.2976601123809814,0.07885231077671051,-0.3564310073852539,1.762120008468628,0.40607237815856934,-0.05889680236577988,0.4168907701969147,-0.2241566926240921,0.08665722608566284,0.8803240060806274,0.01722850278019905,0.5936570167541504,0.40730300545692444,0.04868800565600395,-0.2569580078125,-0.04308740049600601,-0.17113709449768066,-0.18435099720954895,-0.33875590562820435,0.15295900404453278,-0.04929939657449722,-0.1044159084558487,-0.22770798206329346,-1.0238583087921143,0.13288098573684692,0.8231220245361328,-0.2153412103652954,-0.26089200377464294,0.019578348845243454,-1.4350249767303467,0.013482004404067993,0.19025173783302307,-0.1451055109500885,-0.05700039863586426,-0.45283442735671997,-0.08163440227508545,-0.1405854970216751,-0.33169588446617126,-0.029114503413438797,-0.29832860827445984,0.07148080319166183,-0.07432596385478973,-0.47712403535842896,0.5702168345451355,0.24001121520996094
126604:16	-0.10812000185251236,0.45190000534057617,0.43488284945487976,-0.4413342773914337,-0.45122143626213074,0.36144283413887024,-0.1745442897081375,0.315815269947052,0.2169950008392334,-0.21692286431789398,0.03950657323002815,-0.061652712523937225,0.3155380189418793,0.07758801430463791,0.0167684443295002,-0.3617534339427948,-0.09686942398548126,0.14110057055950165,-0.1400109976530075,0.4450685679912567,0.06898729503154755,0.27157214283943176,0.14457657933235168,-0.020892858505249023,-0.08446671068668365,-0.20758572220802307,-0.08827871084213257,-0.2814328372478485,-0.1550346463918686,-0.14145715534687042,-0.06281057745218277,0.2560138702392578,0.11711651086807251,-0.05711442977190018,0.3338513970375061,0.24291355907917023,-0.018101146444678307,0.2844025790691376,-0.0759022906422615,-0.3198857307434082,-0.16621370613574982,-0.03323714807629585,-0.17496517300605774,-0.3587062954902649,-0.20523397624492645,-0.2776930034160614,0.04622571915388107,0.011217430233955383,-0.048670705407857895,-0.3991096019744873,-0.17683002352714539,-0.3734341263771057,-0.14589129388332367,0.5863471627235413,-0.4206227660179138,-1.400147557258606,0.07037542015314102,0.0450078584253788,0.8788614869117737,0.19620442390441895,-0.2250371277332306,1.0082260370254517,-0.29069727659225464,0.12041570991277695,0.5679542422294617,0.07620285451412201,0.5410199761390686,0.16967487335205078,0.3039643168449402,-0.3136834502220154,-0.05637013912200928,-0.3060104250907898,-0.048353713005781174,-0.10619385540485382,-0.08549612760543823,0.13527141511440277,-0.25877097249031067,0.09388713538646698,-0.5468886494636536,-0.09521715342998505,0.4102995693683624,-0.21467803418636322,-0.44566288590431213,0.05968876928091049,-1.2315826416015625,-0.049035705626010895,-0.07350785285234451,-0.26830384135246277,-0.5397214293479919,-0.23804958164691925,-0.1564185619354248,-0.08498571813106537,0.07510142773389816,-0.2578498423099518,-0.5553785562515259,-0.1971411406993866,-0.5139028429985046,-0.24050140380859375,0.4066815972328186,0.35855183005332947
126610:15	-0.20810991525650024,0.5479463934898376,0.14242154359817505,-0.19761720299720764,-0.2324877381324768,0.1670830100774765,-0.3100736439228058,0.3352462649345398,0.11126890778541565,-0.07400238513946533,0.2771436274051666,-0.12089903652667999,0.24388809502124786,0.09753508120775223,0.2073153555393219,-0.10660817474126816,-0.11825065314769745,0.2322925180196762,-0.1421566605567932,0.26715031266212463,0.3992534577846527,0.25781992077827454,0.33068838715553284,-0.1667550504207611,0.2616119980812073,-0.22928272187709808,-0.28492701053619385,-0.5098109841346741,-0.2594696879386902,-0.19208592176437378,0.08745091408491135,0.22709612548351288,0.03604917600750923,-0.009806063957512379,0.265968918800354,0.13924311101436615,0.13643145561218262,0.17380636930465698,0.2247927188873291,-0.19194839894771576,-0.35710054636001587,-0.4781745672225952,0.006777278613299131,-0.26118457317352295,-0.16387155652046204,-0.10257764160633087,0.17654137313365936,-0.01835845783352852,0.13769590854644775,-0.7286191582679749,-0.024948634207248688,-0.2632727324962616,0.08149609714746475,0.9670608639717102,-0.0553559809923172,-2.211336374282837,-0.06947081536054611,-0.18434472382068634,1.3605573177337646,0.40374335646629333,-0.09800462424755096,0.9381456971168518,-0.2955417335033417,0.24992312490940094,0.7053236365318298,-0.0685916319489479,0.6101836562156677,0.2760980725288391,0.05052473768591881,-0.4082198143005371,0.05575698986649513,-0.07220057398080826,0.03584090247750282,-0.36650925874710083,0.30336543917655945,0.1335306316614151,0.05399663373827934,0.05484083667397499,-0.4252910614013672,0.1390819102525711,0.48798882961273193,0.11320535838603973,-0.38650980591773987,0.04816586151719093,-1.0570117235183716,-0.22483815252780914,0.27339598536491394,-0.21560539305210114,-0.2424473613500595,-0.1831211894750595,0.08689827471971512,-0.3358946144580841,0.038967881351709366,-0.11383819580078125,-0.8130409121513367,-0.26264527440071106,-0.2538550794124603,-0.3308790624141693,0.5576791167259216,0.17092818021774292
126632:62	-0.06778199970722198,0.33739855885505676,0.4076204001903534,-0.17284074425697327,-0.02751338668167591,0.2964564263820648,-0.3419334888458252,0.1929185539484024,-0.13282819092273712,-0.11695965379476547,0.2140207141637802,0.0306509081274271,0.27739670872688293,0.0918341800570488,0.16241535544395447,-0.3632604479789734,0.09600768238306046,0.18214105069637299,-0.6405439972877502,0.26111775636672974,0.18297353386878967,0.24356019496917725,0.2374211549758911,-0.10302218049764633,0.16537916660308838,-0.004424963146448135,-0.08059660345315933,-0.42315909266471863,0.2907665967941284,-0.20794478058815002,0.019008520990610123,0.38179489970207214,0.04886212572455406,0.02095695771276951,0.05577883869409561,0.22896277904510498,0.062259651720523834,0.1830645203590393,-0.033188994973897934,-0.13471956551074982,-0.6160032749176025,-0.2523413896560669,0.08306901156902313,-0.4394831955432892,-0.17854957282543182,-0.017089392989873886,0.15149465203285217,-0.24016782641410828,0.02294451743364334,-0.8600860834121704,-0.08011382073163986,0.057868219912052155,0.003335473593324423,1.0742254257202148,-0.17148776352405548,-2.2819015979766846,0.028950484469532967,-0.10115581750869751,1.5219022035598755,0.5680803060531616,-0.09035847336053848,0.9307314157485962,-0.2252454161643982,0.004895112942904234,0.6332964897155762,0.048786863684654236,0.47130540013313293,0.35658761858940125,0.13366183638572693,-0.2630941867828369,0.08169030398130417,-0.37180498242378235,-0.10915785282850266,-0.36980363726615906,0.14383414387702942,0.21696524322032928,-0.1536816507577896,-0.05755903944373131,-0.7536300420761108,-0.039824776351451874,0.6973798871040344,0.08471755683422089,-0.5236337780952454,0.16168147325515747,-1.5208433866500854,-0.14140959084033966,-0.0960782915353775,-0.18565507233142853,-0.2453640252351761,-0.3252277672290802,-0.14583316445350647,-0.18958112597465515,-0.0426817424595356,-0.03087678737938404,-0.6439878344535828,-0.08961515128612518,-0.4022245705127716,-0.1431359052658081,0.4326280653476715,0.30107319355010986
126761:25	-0.10868815332651138,0.38797542452812195,0.23136182129383087,-0.231262668967247,-0.20454631745815277,0.47720178961753845,-0.199405238032341,0.054982662200927734,0.026988094672560692,-0.08220308274030685,-0.05845682695508003,-0.052471358329057693,0.1655418425798416,-0.05875499173998833,0.1877075880765915,-0.2469664216041565,-0.09173441678285599,-0.04274098947644234,-0.22381949424743652,0.4455362856388092,0.506706714630127,0.2754322588443756,0.22809909284114838,-0.13758009672164917,0.02699217014014721,-0.2176893949508667,-0.0318170040845871,-0.3577994108200073,0.011522583663463593,-0.029444167390465736,0.11250639706850052,0.44355300068855286,-0.07129313051700592,-0.1380724161863327,0.09752700477838516,0.3381500244140625,0.0032592464704066515,0.221793070435524,0.13133665919303894,0.024600841104984283,-0.44391974806785583,-0.33841457962989807,0.011792987585067749,-0.40558090806007385,-0.18296124041080475,-0.1340390145778656,0.15204142034053802,-0.13529740273952484,-0.014975838363170624,-0.70965576171875,0.017163828015327454,-0.20877350866794586,0.11257650703191757,0.8725916743278503,-0.2915399372577667,-2.4022915363311768,0.06872925162315369,-0.3174048960208893,1.6250910758972168,0.4163535535335541,-0.13769873976707458,1.1617966890335083,-0.34483468532562256,-0.06522256880998611,0.6920024752616882,0.03841608390212059,0.5713430643081665,0.19916005432605743,0.36692333221435547,-0.14436222612857819,-0.20891223847866058,-0.16256050765514374,-0.13204516470432281,-0.4116515815258026,0.2884158194065094,0.38582363724708557,-0.06225166842341423,-0.09341716766357422,-0.8149594664573669,0.01532083097845316,0.535629153251648,-0.12835624814033508,-0.3810354471206665,0.014341250993311405,-1.553345799446106,-0.020814498886466026,0.02468799613416195,-0.16202859580516815,-0.3489253520965576,-0.40196752548217773,0.1072644367814064,0.05545291304588318,-0.12844417989253998,-0.10573575645685196,-0.6652404069900513,-0.050722915679216385,-0.4446774423122406,-0.2707478404045105,0.5440158247947693,0.2695465087890625
126761:30	-0.10868815332651138,0.38797542452812195,0.23136182129383087,-0.231262668967247,-0.20454631745815277,0.47720178961753845,-0.199405238032341,0.054982662200927734,0.026988094672560692,-0.08220308274030685,-0.05845682695508003,-0.052471358329057693,0.1655418425798416,-0.05875499173998833,0.1877075880765915,-0.2469664216041565,-0.09173441678285599,-0.04274098947644234,-0.22381949424743652,0.4455362856388092,0.506706714630127,0.2754322588443756,0.22809909284114838,-0.13758009672164917,0.02699217014014721,-0.2176893949508667,-0.0318170040845871,-0.3577994108200073,0.011522583663463593,-0.029444167390465736,0.11250639706850052,0.44355300068855286,-0.07129313051700592,-0.1380724161863327,0.09752700477838516,0.3381500244140625,0.0032592464704066515,0.221793070435524,0.13133665919303894,0.024600841104984283,-0.44391974806785583,-0.33841457962989807,0.011792987585067749,-0.40558090806007385,-0.18296124041080475,-0.1340390145778656,0.15204142034053802,-0.13529740273952484,-0.014975838363170624,-0.70965576171875,0.017163828015327454,-0.20877350866794586,0.11257650703191757,0.8725916743278503,-0.2915399372577667,-2.4022915363311768,0.06872925162315369,-0.3174048960208893,1.6250910758972168,0.4163535535335541,-0.13769873976707458,1.1617966890335083,-0.34483468532562256,-0.06522256880998611,0.6920024752616882,0.03841608390212059,0.5713430643081665,0.19916005432605743,0.36692333221435547,-0.14436222612857819,-0.20891223847866058,-0.16256050765514374,-0.13204516470432281,-0.4116515815258026,0.2884158194065094,0.38582363724708557,-0.06225166842341423,-0.09341716766357422,-0.8149594664573669,0.01532083097845316,0.535629153251648,-0.12835624814033508,-0.3810354471206665,0.014341250993311405,-1.553345799446106,-0.020814498886466026,0.02468799613416195,-0.16202859580516815,-0.3489253520965576,-0.40196752548217773,0.1072644367814064,0.05545291304588318,-0.12844417989253998,-0.10573575645685196,-0.6652404069900513,-0.050722915679216385,-0.4446774423122406,-0.2707478404045105,0.5440158247947693,0.2695465087890625
