Using configurations:
{'BATCH_ITEM_NUM': 30,
 'BERT_LARGE': True,
 'BERT_LAYER': 11,
 'CONFIG_NAME': 'bert_large_lstm_attn',
 'CROSS_VALIDATION_FLAG': True,
 'CUDA': True,
 'ELMO_LAYER': 2,
 'ELMO_MODE': 'concat',
 'EXPERIMENT_NAME': 'bert_large_lstm_attn',
 'GLOVE_DIM': 100,
 'GPU_NUM': 1,
 'IS_BERT': True,
 'IS_ELMO': False,
 'IS_RANDOM': False,
 'KFOLDS': 5,
 'LSTM': {'ATTN': True,
          'BIDIRECTION': True,
          'DROP_PROB': 0.1,
          'FLAG': True,
          'HIDDEN_DIM': 800,
          'LAYERS': 2,
          'SEQ_LEN': 30},
 'MODE': 'train',
 'OUT_PATH': '/jagupard22/scr1/sebschu/runs.h800/',
 'PREDICTION_TYPE': 'rating',
 'PREDON': 'train',
 'RESUME_DIR': '',
 'SAVE_PREDS': False,
 'SEED': 0,
 'SINGLE_SENTENCE': True,
 'SOME_DATABASE': './some_database.csv',
 'SPLIT_NAME': '',
 'TRAIN': {'BATCH_SIZE': 32,
           'COEFF': {'BETA_1': 0.9, 'BETA_2': 0.999, 'EPS': 1e-08},
           'DROPOUT': {'FC_1': 0.2, 'FC_2': 0.2},
           'FLAG': True,
           'INTERVAL': 100,
           'LR': 0.001,
           'LR_DECAY_EPOCH': 100,
           'LR_DECAY_RATE': 1.0,
           'START_EPOCH': 0,
           'TOTAL_EPOCH': 800}}
Using random seed 0.
Path to the current word embeddings: ./datasets/seed_0/bert_largelayer_11_lstm/embs_train_30.npy
Start training
===============================
Fold #1
- - - - - - - - - - - - -
initializing neural net
[1/800][24/24] total train loss: 1.2983; total val loss: 0.3322 val r: 0.6762; time: 0.99sec
[20/800][24/24] total train loss: 0.0190; total val loss: 0.4922 val r: 0.7343; time: 0.94sec
[21/800][24/24] total train loss: 0.0170; total val loss: 0.4932 val r: 0.7337; time: 0.95sec
[22/800][24/24] total train loss: 0.0169; total val loss: 0.4808 val r: 0.7346; time: 0.96sec
[23/800][24/24] total train loss: 0.0160; total val loss: 0.4847 val r: 0.7354; time: 0.95sec
[24/800][24/24] total train loss: 0.0156; total val loss: 0.4807 val r: 0.7312; time: 0.94sec
[25/800][24/24] total train loss: 0.0147; total val loss: 0.5185 val r: 0.7406; time: 0.95sec
[26/800][24/24] total train loss: 0.0147; total val loss: 0.5221 val r: 0.7369; time: 0.95sec
[27/800][24/24] total train loss: 0.0151; total val loss: 0.5148 val r: 0.7336; time: 0.95sec
[28/800][24/24] total train loss: 0.0144; total val loss: 0.5155 val r: 0.7367; time: 0.95sec
[29/800][24/24] total train loss: 0.0145; total val loss: 0.5062 val r: 0.7371; time: 0.95sec
[30/800][24/24] total train loss: 0.0141; total val loss: 0.5091 val r: 0.7360; time: 0.95sec
[31/800][24/24] total train loss: 0.0146; total val loss: 0.5024 val r: 0.7368; time: 0.95sec
[32/800][24/24] total train loss: 0.0169; total val loss: 0.5094 val r: 0.7388; time: 0.94sec
[33/800][24/24] total train loss: 0.0163; total val loss: 0.5219 val r: 0.7319; time: 0.95sec
[34/800][24/24] total train loss: 0.0146; total val loss: 0.5046 val r: 0.7349; time: 0.95sec
[35/800][24/24] total train loss: 0.0137; total val loss: 0.5038 val r: 0.7307; time: 0.93sec
[36/800][24/24] total train loss: 0.0140; total val loss: 0.4912 val r: 0.7284; time: 0.94sec
[37/800][24/24] total train loss: 0.0165; total val loss: 0.5122 val r: 0.7378; time: 0.95sec
[38/800][24/24] total train loss: 0.0170; total val loss: 0.5027 val r: 0.7349; time: 0.95sec
[39/800][24/24] total train loss: 0.0177; total val loss: 0.4918 val r: 0.7333; time: 0.94sec
[40/800][24/24] total train loss: 0.0172; total val loss: 0.5515 val r: 0.7411; time: 0.95sec
[41/800][24/24] total train loss: 0.0181; total val loss: 0.4987 val r: 0.7428; time: 0.94sec
[42/800][24/24] total train loss: 0.0166; total val loss: 0.4999 val r: 0.7395; time: 0.95sec
[43/800][24/24] total train loss: 0.0142; total val loss: 0.5100 val r: 0.7409; time: 0.95sec
[44/800][24/24] total train loss: 0.0139; total val loss: 0.5088 val r: 0.7392; time: 0.94sec
[45/800][24/24] total train loss: 0.0138; total val loss: 0.5160 val r: 0.7367; time: 0.95sec
[46/800][24/24] total train loss: 0.0136; total val loss: 0.4993 val r: 0.7381; time: 0.95sec
[47/800][24/24] total train loss: 0.0142; total val loss: 0.5048 val r: 0.7417; time: 0.95sec
[48/800][24/24] total train loss: 0.0172; total val loss: 0.4956 val r: 0.7439; time: 0.95sec
[49/800][24/24] total train loss: 0.0149; total val loss: 0.4976 val r: 0.7368; time: 0.96sec
[50/800][24/24] total train loss: 0.0130; total val loss: 0.5017 val r: 0.7419; time: 0.95sec
[51/800][24/24] total train loss: 0.0126; total val loss: 0.4819 val r: 0.7383; time: 0.95sec
[52/800][24/24] total train loss: 0.0131; total val loss: 0.4935 val r: 0.7382; time: 0.95sec
[53/800][24/24] total train loss: 0.0129; total val loss: 0.4816 val r: 0.7441; time: 0.94sec
[54/800][24/24] total train loss: 0.0127; total val loss: 0.5047 val r: 0.7405; time: 0.95sec
[55/800][24/24] total train loss: 0.0127; total val loss: 0.4987 val r: 0.7379; time: 0.94sec
[56/800][24/24] total train loss: 0.0135; total val loss: 0.5311 val r: 0.7458; time: 0.95sec
[57/800][24/24] total train loss: 0.0134; total val loss: 0.5060 val r: 0.7398; time: 0.94sec
[58/800][24/24] total train loss: 0.0138; total val loss: 0.4997 val r: 0.7411; time: 0.95sec
[59/800][24/24] total train loss: 0.0146; total val loss: 0.4889 val r: 0.7446; time: 0.95sec
[60/800][24/24] total train loss: 0.0159; total val loss: 0.5196 val r: 0.7415; time: 0.95sec
[61/800][24/24] total train loss: 0.0171; total val loss: 0.5154 val r: 0.7332; time: 0.94sec
[62/800][24/24] total train loss: 0.0153; total val loss: 0.5037 val r: 0.7446; time: 0.96sec
[63/800][24/24] total train loss: 0.0150; total val loss: 0.4958 val r: 0.7389; time: 0.95sec
[64/800][24/24] total train loss: 0.0145; total val loss: 0.5167 val r: 0.7456; time: 0.95sec
[65/800][24/24] total train loss: 0.0143; total val loss: 0.4759 val r: 0.7394; time: 0.94sec
[66/800][24/24] total train loss: 0.0143; total val loss: 0.4867 val r: 0.7447; time: 0.94sec
[67/800][24/24] total train loss: 0.0142; total val loss: 0.5112 val r: 0.7479; time: 0.95sec
[68/800][24/24] total train loss: 0.0146; total val loss: 0.5056 val r: 0.7438; time: 0.95sec
[69/800][24/24] total train loss: 0.0142; total val loss: 0.5063 val r: 0.7446; time: 0.95sec
[70/800][24/24] total train loss: 0.0132; total val loss: 0.4900 val r: 0.7418; time: 0.95sec
[71/800][24/24] total train loss: 0.0124; total val loss: 0.5067 val r: 0.7433; time: 0.94sec
[72/800][24/24] total train loss: 0.0120; total val loss: 0.4834 val r: 0.7431; time: 0.95sec
[73/800][24/24] total train loss: 0.0121; total val loss: 0.4763 val r: 0.7413; time: 0.97sec
[74/800][24/24] total train loss: 0.0126; total val loss: 0.4857 val r: 0.7432; time: 0.94sec
[75/800][24/24] total train loss: 0.0127; total val loss: 0.5021 val r: 0.7418; time: 0.95sec
[76/800][24/24] total train loss: 0.0132; total val loss: 0.5316 val r: 0.7496; time: 0.94sec
[77/800][24/24] total train loss: 0.0142; total val loss: 0.4857 val r: 0.7415; time: 0.95sec
[78/800][24/24] total train loss: 0.0142; total val loss: 0.4837 val r: 0.7445; time: 0.94sec
[79/800][24/24] total train loss: 0.0129; total val loss: 0.5133 val r: 0.7454; time: 0.94sec
[80/800][24/24] total train loss: 0.0128; total val loss: 0.5187 val r: 0.7435; time: 0.94sec
[81/800][24/24] total train loss: 0.0138; total val loss: 0.4908 val r: 0.7468; time: 0.94sec
[82/800][24/24] total train loss: 0.0120; total val loss: 0.5017 val r: 0.7430; time: 0.95sec
[83/800][24/24] total train loss: 0.0119; total val loss: 0.4778 val r: 0.7445; time: 0.95sec
[84/800][24/24] total train loss: 0.0114; total val loss: 0.5033 val r: 0.7406; time: 0.95sec
[85/800][24/24] total train loss: 0.0123; total val loss: 0.4828 val r: 0.7468; time: 0.95sec
[86/800][24/24] total train loss: 0.0125; total val loss: 0.5056 val r: 0.7424; time: 0.95sec
[87/800][24/24] total train loss: 0.0132; total val loss: 0.5131 val r: 0.7482; time: 0.95sec
[88/800][24/24] total train loss: 0.0141; total val loss: 0.4982 val r: 0.7465; time: 0.95sec
[89/800][24/24] total train loss: 0.0134; total val loss: 0.4930 val r: 0.7395; time: 0.95sec
[90/800][24/24] total train loss: 0.0117; total val loss: 0.5069 val r: 0.7457; time: 0.95sec
[91/800][24/24] total train loss: 0.0124; total val loss: 0.5099 val r: 0.7398; time: 0.95sec
[92/800][24/24] total train loss: 0.0130; total val loss: 0.5002 val r: 0.7457; time: 0.96sec
[93/800][24/24] total train loss: 0.0120; total val loss: 0.4905 val r: 0.7480; time: 0.94sec
[94/800][24/24] total train loss: 0.0113; total val loss: 0.5084 val r: 0.7439; time: 0.95sec
[95/800][24/24] total train loss: 0.0116; total val loss: 0.4797 val r: 0.7431; time: 0.95sec
[96/800][24/24] total train loss: 0.0122; total val loss: 0.5083 val r: 0.7470; time: 0.95sec
[97/800][24/24] total train loss: 0.0127; total val loss: 0.4910 val r: 0.7424; time: 0.95sec
[98/800][24/24] total train loss: 0.0116; total val loss: 0.4882 val r: 0.7418; time: 0.95sec
[99/800][24/24] total train loss: 0.0121; total val loss: 0.4952 val r: 0.7476; time: 0.95sec
learning rate updated: 0.001
[100/800][24/24] total train loss: 0.0115; total val loss: 0.4790 val r: 0.7437; time: 0.95sec
[101/800][24/24] total train loss: 0.0112; total val loss: 0.4988 val r: 0.7501; time: 0.95sec
[102/800][24/24] total train loss: 0.0114; total val loss: 0.4868 val r: 0.7425; time: 0.95sec
[103/800][24/24] total train loss: 0.0123; total val loss: 0.4842 val r: 0.7427; time: 0.95sec
[104/800][24/24] total train loss: 0.0134; total val loss: 0.5100 val r: 0.7447; time: 0.95sec
[105/800][24/24] total train loss: 0.0132; total val loss: 0.4983 val r: 0.7458; time: 0.95sec
[106/800][24/24] total train loss: 0.0125; total val loss: 0.4813 val r: 0.7460; time: 0.95sec
[107/800][24/24] total train loss: 0.0116; total val loss: 0.4984 val r: 0.7458; time: 0.95sec
[108/800][24/24] total train loss: 0.0115; total val loss: 0.4957 val r: 0.7428; time: 0.95sec
[109/800][24/24] total train loss: 0.0109; total val loss: 0.4951 val r: 0.7458; time: 0.95sec
[110/800][24/24] total train loss: 0.0124; total val loss: 0.4838 val r: 0.7447; time: 0.95sec
[111/800][24/24] total train loss: 0.0110; total val loss: 0.5161 val r: 0.7473; time: 0.96sec
[112/800][24/24] total train loss: 0.0119; total val loss: 0.4937 val r: 0.7375; time: 0.96sec
[113/800][24/24] total train loss: 0.0124; total val loss: 0.5050 val r: 0.7474; time: 0.95sec
[114/800][24/24] total train loss: 0.0126; total val loss: 0.4998 val r: 0.7440; time: 0.95sec
[115/800][24/24] total train loss: 0.0118; total val loss: 0.5099 val r: 0.7477; time: 0.95sec
[116/800][24/24] total train loss: 0.0118; total val loss: 0.4830 val r: 0.7442; time: 0.95sec
[117/800][24/24] total train loss: 0.0122; total val loss: 0.4694 val r: 0.7420; time: 0.95sec
[118/800][24/24] total train loss: 0.0136; total val loss: 0.5260 val r: 0.7435; time: 0.96sec
[119/800][24/24] total train loss: 0.0128; total val loss: 0.4860 val r: 0.7499; time: 0.95sec
[120/800][24/24] total train loss: 0.0114; total val loss: 0.4854 val r: 0.7443; time: 0.95sec
[121/800][24/24] total train loss: 0.0113; total val loss: 0.4791 val r: 0.7485; time: 0.96sec
[122/800][24/24] total train loss: 0.0112; total val loss: 0.4737 val r: 0.7475; time: 0.96sec
[123/800][24/24] total train loss: 0.0124; total val loss: 0.5078 val r: 0.7441; time: 0.95sec
[124/800][24/24] total train loss: 0.0117; total val loss: 0.4643 val r: 0.7446; time: 0.94sec
[125/800][24/24] total train loss: 0.0114; total val loss: 0.4753 val r: 0.7440; time: 0.95sec
[126/800][24/24] total train loss: 0.0112; total val loss: 0.5065 val r: 0.7485; time: 0.95sec
[127/800][24/24] total train loss: 0.0113; total val loss: 0.4698 val r: 0.7459; time: 0.95sec
[128/800][24/24] total train loss: 0.0113; total val loss: 0.5192 val r: 0.7477; time: 0.95sec
[129/800][24/24] total train loss: 0.0116; total val loss: 0.4787 val r: 0.7443; time: 0.95sec
[130/800][24/24] total train loss: 0.0116; total val loss: 0.5119 val r: 0.7516; time: 0.95sec
[131/800][24/24] total train loss: 0.0115; total val loss: 0.5015 val r: 0.7458; time: 0.95sec
[132/800][24/24] total train loss: 0.0105; total val loss: 0.5127 val r: 0.7495; time: 0.96sec
[133/800][24/24] total train loss: 0.0112; total val loss: 0.4798 val r: 0.7530; time: 0.95sec
[134/800][24/24] total train loss: 0.0112; total val loss: 0.4956 val r: 0.7478; time: 0.96sec
[135/800][24/24] total train loss: 0.0110; total val loss: 0.4836 val r: 0.7522; time: 0.95sec
[136/800][24/24] total train loss: 0.0108; total val loss: 0.4924 val r: 0.7464; time: 0.94sec
[137/800][24/24] total train loss: 0.0107; total val loss: 0.4935 val r: 0.7470; time: 0.95sec
[138/800][24/24] total train loss: 0.0105; total val loss: 0.4991 val r: 0.7449; time: 0.95sec
[139/800][24/24] total train loss: 0.0107; total val loss: 0.4817 val r: 0.7481; time: 0.96sec
[140/800][24/24] total train loss: 0.0106; total val loss: 0.4920 val r: 0.7469; time: 0.95sec
[141/800][24/24] total train loss: 0.0110; total val loss: 0.4891 val r: 0.7470; time: 0.95sec
[142/800][24/24] total train loss: 0.0109; total val loss: 0.4843 val r: 0.7464; time: 0.95sec
[143/800][24/24] total train loss: 0.0105; total val loss: 0.4987 val r: 0.7469; time: 0.95sec
[144/800][24/24] total train loss: 0.0109; total val loss: 0.4953 val r: 0.7462; time: 0.95sec
[145/800][24/24] total train loss: 0.0109; total val loss: 0.4989 val r: 0.7487; time: 0.96sec
[146/800][24/24] total train loss: 0.0105; total val loss: 0.4710 val r: 0.7462; time: 0.95sec
[147/800][24/24] total train loss: 0.0104; total val loss: 0.5019 val r: 0.7454; time: 0.96sec
[148/800][24/24] total train loss: 0.0108; total val loss: 0.4970 val r: 0.7469; time: 0.96sec
[149/800][24/24] total train loss: 0.0107; total val loss: 0.4923 val r: 0.7468; time: 0.96sec
[150/800][24/24] total train loss: 0.0116; total val loss: 0.5208 val r: 0.7500; time: 0.95sec
[151/800][24/24] total train loss: 0.0119; total val loss: 0.4926 val r: 0.7450; time: 0.96sec
[152/800][24/24] total train loss: 0.0111; total val loss: 0.4861 val r: 0.7424; time: 0.95sec
[153/800][24/24] total train loss: 0.0132; total val loss: 0.4997 val r: 0.7496; time: 0.94sec
[154/800][24/24] total train loss: 0.0123; total val loss: 0.5018 val r: 0.7438; time: 0.97sec
[155/800][24/24] total train loss: 0.0122; total val loss: 0.5047 val r: 0.7493; time: 0.95sec
[156/800][24/24] total train loss: 0.0120; total val loss: 0.4829 val r: 0.7440; time: 0.95sec
[157/800][24/24] total train loss: 0.0120; total val loss: 0.4691 val r: 0.7450; time: 0.95sec
[158/800][24/24] total train loss: 0.0122; total val loss: 0.4914 val r: 0.7520; time: 0.95sec
[159/800][24/24] total train loss: 0.0124; total val loss: 0.4921 val r: 0.7498; time: 0.94sec
[160/800][24/24] total train loss: 0.0114; total val loss: 0.5070 val r: 0.7537; time: 0.95sec
[161/800][24/24] total train loss: 0.0118; total val loss: 0.4982 val r: 0.7467; time: 0.94sec
[162/800][24/24] total train loss: 0.0119; total val loss: 0.4885 val r: 0.7447; time: 0.95sec
[163/800][24/24] total train loss: 0.0106; total val loss: 0.4994 val r: 0.7476; time: 0.96sec
[164/800][24/24] total train loss: 0.0106; total val loss: 0.5117 val r: 0.7491; time: 0.95sec
[165/800][24/24] total train loss: 0.0102; total val loss: 0.4966 val r: 0.7461; time: 0.96sec
[166/800][24/24] total train loss: 0.0107; total val loss: 0.5020 val r: 0.7486; time: 0.96sec
[167/800][24/24] total train loss: 0.0106; total val loss: 0.4849 val r: 0.7496; time: 0.95sec
[168/800][24/24] total train loss: 0.0105; total val loss: 0.5129 val r: 0.7473; time: 0.95sec
[169/800][24/24] total train loss: 0.0097; total val loss: 0.4825 val r: 0.7467; time: 0.95sec
[170/800][24/24] total train loss: 0.0100; total val loss: 0.5035 val r: 0.7434; time: 0.96sec
[171/800][24/24] total train loss: 0.0100; total val loss: 0.4787 val r: 0.7479; time: 0.95sec
[172/800][24/24] total train loss: 0.0107; total val loss: 0.5051 val r: 0.7452; time: 0.95sec
[173/800][24/24] total train loss: 0.0100; total val loss: 0.5023 val r: 0.7459; time: 0.96sec
[174/800][24/24] total train loss: 0.0098; total val loss: 0.5112 val r: 0.7478; time: 0.94sec
[175/800][24/24] total train loss: 0.0098; total val loss: 0.4970 val r: 0.7458; time: 0.95sec
[176/800][24/24] total train loss: 0.0100; total val loss: 0.4936 val r: 0.7456; time: 0.95sec
[177/800][24/24] total train loss: 0.0104; total val loss: 0.4988 val r: 0.7432; time: 0.96sec
[178/800][24/24] total train loss: 0.0099; total val loss: 0.4940 val r: 0.7471; time: 0.96sec
[179/800][24/24] total train loss: 0.0098; total val loss: 0.4809 val r: 0.7483; time: 0.95sec
[180/800][24/24] total train loss: 0.0108; total val loss: 0.5098 val r: 0.7479; time: 0.95sec
[181/800][24/24] total train loss: 0.0111; total val loss: 0.5140 val r: 0.7456; time: 0.95sec
[182/800][24/24] total train loss: 0.0115; total val loss: 0.5104 val r: 0.7421; time: 0.95sec
[183/800][24/24] total train loss: 0.0116; total val loss: 0.4798 val r: 0.7449; time: 0.94sec
[184/800][24/24] total train loss: 0.0114; total val loss: 0.4953 val r: 0.7459; time: 0.95sec
[185/800][24/24] total train loss: 0.0105; total val loss: 0.4953 val r: 0.7467; time: 0.95sec
[186/800][24/24] total train loss: 0.0100; total val loss: 0.5029 val r: 0.7511; time: 0.95sec
[187/800][24/24] total train loss: 0.0108; total val loss: 0.4953 val r: 0.7474; time: 0.95sec
[188/800][24/24] total train loss: 0.0100; total val loss: 0.5023 val r: 0.7463; time: 0.95sec
[189/800][24/24] total train loss: 0.0102; total val loss: 0.4959 val r: 0.7492; time: 0.95sec
[190/800][24/24] total train loss: 0.0101; total val loss: 0.5004 val r: 0.7473; time: 0.95sec
[191/800][24/24] total train loss: 0.0098; total val loss: 0.5041 val r: 0.7458; time: 0.95sec
[192/800][24/24] total train loss: 0.0097; total val loss: 0.4930 val r: 0.7419; time: 0.94sec
[193/800][24/24] total train loss: 0.0099; total val loss: 0.5035 val r: 0.7462; time: 0.95sec
[194/800][24/24] total train loss: 0.0101; total val loss: 0.5194 val r: 0.7469; time: 0.94sec
[195/800][24/24] total train loss: 0.0096; total val loss: 0.4851 val r: 0.7493; time: 0.94sec
[196/800][24/24] total train loss: 0.0101; total val loss: 0.4904 val r: 0.7471; time: 0.95sec
[197/800][24/24] total train loss: 0.0099; total val loss: 0.4983 val r: 0.7474; time: 0.95sec
[198/800][24/24] total train loss: 0.0107; total val loss: 0.4897 val r: 0.7486; time: 0.96sec
[199/800][24/24] total train loss: 0.0107; total val loss: 0.5029 val r: 0.7429; time: 0.95sec
learning rate updated: 0.001
[200/800][24/24] total train loss: 0.0106; total val loss: 0.4992 val r: 0.7488; time: 0.95sec
[201/800][24/24] total train loss: 0.0104; total val loss: 0.5019 val r: 0.7483; time: 0.95sec
[202/800][24/24] total train loss: 0.0103; total val loss: 0.4830 val r: 0.7442; time: 0.95sec
[203/800][24/24] total train loss: 0.0105; total val loss: 0.4890 val r: 0.7437; time: 0.95sec
[204/800][24/24] total train loss: 0.0107; total val loss: 0.5119 val r: 0.7444; time: 0.95sec
[205/800][24/24] total train loss: 0.0100; total val loss: 0.4929 val r: 0.7460; time: 0.95sec
[206/800][24/24] total train loss: 0.0102; total val loss: 0.5091 val r: 0.7497; time: 0.95sec
[207/800][24/24] total train loss: 0.0104; total val loss: 0.4888 val r: 0.7460; time: 0.95sec
[208/800][24/24] total train loss: 0.0107; total val loss: 0.4770 val r: 0.7445; time: 0.94sec
[209/800][24/24] total train loss: 0.0106; total val loss: 0.5139 val r: 0.7494; time: 0.95sec
[210/800][24/24] total train loss: 0.0097; total val loss: 0.5010 val r: 0.7472; time: 0.95sec
[211/800][24/24] total train loss: 0.0096; total val loss: 0.4988 val r: 0.7473; time: 0.95sec
[212/800][24/24] total train loss: 0.0094; total val loss: 0.5038 val r: 0.7426; time: 0.95sec
[213/800][24/24] total train loss: 0.0097; total val loss: 0.4994 val r: 0.7476; time: 0.96sec
[214/800][24/24] total train loss: 0.0101; total val loss: 0.5033 val r: 0.7470; time: 0.96sec
[215/800][24/24] total train loss: 0.0094; total val loss: 0.4913 val r: 0.7452; time: 0.96sec
[216/800][24/24] total train loss: 0.0096; total val loss: 0.4931 val r: 0.7446; time: 0.95sec
[217/800][24/24] total train loss: 0.0095; total val loss: 0.4997 val r: 0.7444; time: 0.96sec
[218/800][24/24] total train loss: 0.0092; total val loss: 0.4917 val r: 0.7487; time: 0.96sec
[219/800][24/24] total train loss: 0.0095; total val loss: 0.4777 val r: 0.7479; time: 0.96sec
[220/800][24/24] total train loss: 0.0101; total val loss: 0.5053 val r: 0.7478; time: 0.96sec
[221/800][24/24] total train loss: 0.0102; total val loss: 0.5101 val r: 0.7470; time: 0.96sec
[222/800][24/24] total train loss: 0.0097; total val loss: 0.4986 val r: 0.7467; time: 0.96sec
[223/800][24/24] total train loss: 0.0097; total val loss: 0.5089 val r: 0.7472; time: 0.95sec
[224/800][24/24] total train loss: 0.0101; total val loss: 0.4892 val r: 0.7436; time: 0.95sec
[225/800][24/24] total train loss: 0.0100; total val loss: 0.5076 val r: 0.7436; time: 0.96sec
[226/800][24/24] total train loss: 0.0101; total val loss: 0.5001 val r: 0.7481; time: 0.95sec
[227/800][24/24] total train loss: 0.0102; total val loss: 0.5180 val r: 0.7452; time: 0.95sec
[228/800][24/24] total train loss: 0.0097; total val loss: 0.4933 val r: 0.7454; time: 0.95sec
[229/800][24/24] total train loss: 0.0097; total val loss: 0.5064 val r: 0.7453; time: 0.95sec
[230/800][24/24] total train loss: 0.0104; total val loss: 0.4955 val r: 0.7441; time: 0.95sec
[231/800][24/24] total train loss: 0.0100; total val loss: 0.5034 val r: 0.7491; time: 0.95sec
[232/800][24/24] total train loss: 0.0096; total val loss: 0.4959 val r: 0.7485; time: 0.95sec
[233/800][24/24] total train loss: 0.0100; total val loss: 0.4981 val r: 0.7462; time: 0.95sec
[234/800][24/24] total train loss: 0.0101; total val loss: 0.5081 val r: 0.7460; time: 0.95sec
[235/800][24/24] total train loss: 0.0095; total val loss: 0.4907 val r: 0.7488; time: 0.96sec
[236/800][24/24] total train loss: 0.0100; total val loss: 0.5076 val r: 0.7443; time: 0.95sec
[237/800][24/24] total train loss: 0.0100; total val loss: 0.5026 val r: 0.7483; time: 0.96sec
[238/800][24/24] total train loss: 0.0101; total val loss: 0.5038 val r: 0.7488; time: 0.95sec
[239/800][24/24] total train loss: 0.0103; total val loss: 0.5015 val r: 0.7473; time: 0.96sec
[240/800][24/24] total train loss: 0.0096; total val loss: 0.4965 val r: 0.7512; time: 0.96sec
[241/800][24/24] total train loss: 0.0094; total val loss: 0.4928 val r: 0.7506; time: 0.95sec
[242/800][24/24] total train loss: 0.0094; total val loss: 0.4886 val r: 0.7446; time: 0.95sec
[243/800][24/24] total train loss: 0.0095; total val loss: 0.4835 val r: 0.7468; time: 0.95sec
[244/800][24/24] total train loss: 0.0095; total val loss: 0.5022 val r: 0.7496; time: 0.95sec
[245/800][24/24] total train loss: 0.0094; total val loss: 0.4828 val r: 0.7474; time: 0.95sec
[246/800][24/24] total train loss: 0.0096; total val loss: 0.4910 val r: 0.7472; time: 0.96sec
[247/800][24/24] total train loss: 0.0094; total val loss: 0.4975 val r: 0.7494; time: 0.96sec
[248/800][24/24] total train loss: 0.0096; total val loss: 0.4890 val r: 0.7513; time: 0.95sec
[249/800][24/24] total train loss: 0.0093; total val loss: 0.5100 val r: 0.7492; time: 0.95sec
[250/800][24/24] total train loss: 0.0099; total val loss: 0.5049 val r: 0.7448; time: 0.97sec
